标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
雅景苑 南向望花园 安静舒适 户型方正,200,29210,海珠,2室1厅1卫,68.47㎡,平层,塔楼,高楼层(共9层),暂无数据,61.19㎡,南,钢混结构,简装,,,小区位于海珠区新港西路~、生活配套设施成熟；商场：国美电器、华润；医院：一七七医院、省荣军医院；银行：工商银行、建设银行、农业银行、中国银行、浦发银行；其他：鹭江商贸街。出小区步行200米左右可到江边直达广州塔~、跑步休闲很方便,这小区近8号线鹭江站A.B出口500米左右。出小区有公交车：中信乐涛苑站182路229路247路24路767路8路~、交通便利
房改房过五唯一~、双阳台户型好~、房子南北对流~、安静,185,24237,海珠,2室1厅1卫,76.33㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东南,钢混结构,其他,,,商场：好又多市、家乐福市医院：海珠区中医院~、红十字会医院、东升医院银行：工商银行、农业银行、建设银行、光大银行饮食：嘉华美食、云香快餐娱乐：晓港公园、国广场~、,公交车：基立村站~、途经线路：285、14、25、29、82、86、87、88、180、186、190、192、222、253、544、823、夜16、夜20、夜30、夜32和夜33地铁：地铁2号线江南西站和2号线市二宫站
滨江东地铁~、电梯到4楼~、实际走4层~、精装修~、户型方正,210,27705,海珠,2室1厅1卫,75.8㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东北,钢混结构,精装,,有,7-11利店(建基路店)~、广东省图书批发~、怡乐路肉菜综合市场~、海联肉菜市场~、新凤凰菜市场~、凯印食品交易市场~、蟠龙市场~、新华书店(建基路店)。,距离滨江东地铁400米中大地铁站1138米~、晓港地铁站960米~、江南西地铁站1363米~、昌岗地铁站1487米。
江南西路   南向电梯两房  精装修户型方正,175,36604,海珠,2室1厅1卫,47.81㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,西南,钢混结构,其他,,,,离江南西地铁A出口630米~、可坐2号线到广州南北各区域~、坐一站到昌岗地铁站可转8号线。有多个公交站~、包括南村站~、江南西路站~、江南大道站等~、可通往广州各大区域~、交通便利
元邦明月园 欧式风格建筑 东南向 高层正规大两房,500,61981,海珠,2室2厅1卫,80.67㎡,平层,塔楼,中楼层(共24层),暂无数据,63.51㎡,东南,钢混结构,其他,,有,购物：赤岗购物步行街纵横广场珠影广场饮食：赤岗北路四季天地饮食广场艺园路饮食步行街嘉宴海鲜酒家麦当劳肯德基娱乐：哈艺电影院城KPrtKtv市政单位：广州市自来水公司、广州煤气公司医院：省二医、中西结合医院财厅：建设银行、农业银行,地铁站：8号线赤岗站；3号线客村站。公交车站：赤岗站和赤岗路口站~、262路~、229路~、239路~、14路~、37路~、69路
诚心放卖  户型方正 随时可以看房,168,22129,海珠,2室2厅1卫,75.92㎡,平层,塔楼,高楼层(共9层),暂无数据,68.36㎡,北,钢混结构,其他,,,老城区的配套~、2公里内有几个大型购物广场平时的购物吃饭看电影的基本都可以满足~、还有大大小小的银行美食街等等,小区出来200米就是公交车站双地铁~、广佛线和11号线环城线800米左右。
翠城花园 六期少有放盘看花园单位 安静舒适,550,52262,海珠,3室2厅1卫,105.24㎡,平层,塔楼,低楼层(共33层),暂无数据,82.62㎡,西北,钢混结构,精装,,有,西商城有燕汇广场.合生生活广场.昌岗信和广场.江泰路科里~、市有华润家.家乐福.盒马鲜生等~、市场有南泰货市场.泉塘市场.沙园华市场等~、公园有庄头公园~、沙园公园.晓港公园等~、配套齐全。,距8号线宝岗地铁站300米~、广佛线燕岗站1000米~、2号线江泰地铁站900米~、公交站有珠江医院总站~、南泰路西站~、昌岗路口站~、橡胶新村站~、翠宝路站~、珠江南景园总站
江南西路 2室1厅 东 南 北,270,36861,海珠,2室1厅1卫,73.25㎡,平层,塔楼,中楼层(共8层),暂无数据,暂无,东南北,钢混结构,其他,,有,,
市二宫 楼龄新 近地铁 有位置装电梯 平层,115,29495,海珠,1室1厅1卫,38.99㎡,平层,塔楼,低楼层(共10层),暂无数据,34.15㎡,东北,钢混结构,精装,,,医院：红十字会医院、海珠中医院、广州医学院第二附属医院、广东省口腔医院。商场：*国广场、同乐汇~、若比邻银行：中国工商银行、中国农业银行、中国建设银行、中国银行、光大银行、中国邮政等,地铁二号线市二宫和江南西站公交楼下江南大道站多条车路线经过~、14路、186路、253路、823路、87路、13路、180路、190路、192路、29路、544路、768路环线、86路华南新城楼巴3路、25路、82路、88路、5路、112路等
昌岗地铁 电梯二房 东南向 三面单边,193,30223,海珠,2室1厅1卫,63.86㎡,平层,暂无数据,高楼层(共8层),暂无数据,57.7㎡,东南,未知结构,其他,,有,公园：晓港公园~、海印公园市场：泰宁市场~、细岗市场医院：广医二院~、珠江医院商圈：江南西商圈~、中大商圈幼儿园：晓港中马路幼儿园~、海鸥幼儿园,地铁：8号线晓港/中大地铁站~、2/8号线昌岗地铁站~、2/11号线江泰地铁站公交：晓港新村公交站~、广医二院公交站~、东晓路公交车~、每天多路公交车过站~、出行便利
同福西地铁300米~、大院管理~、三房两厅~、东南靓向,160,20308,海珠,3室1厅1卫,78.79㎡,平层,塔楼,高楼层(共7层),暂无数据,暂无,南,钢混结构,其他,,,房子位于洪德路步行同福西地铁站200米穿过人民桥即可到沙面公园广州文化公园南方大厦十三行上下九步行街商圈~、500米内有洲头咀公园福龙东菜市场工商银行红十字会医院等,八号线同福西地铁站300米~、200米内同福西车站和洪德路车站多条公交车线能让你方便到达广州各区
近中大地铁站D口精装修3房厅出阳台,228,27303,海珠,3室1厅1卫,83.51㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,南,钢混结构,精装,,,,此房近中大地铁D出口~、步行到地铁站仅600米~、公交车站是省荣军医院荣校站~、有30多路公交车途经此站~、交通十分便捷
满五年唯一 06年楼 楼下地铁 近商场 配套成熟,420,57566,海珠,2室2厅1卫,72.96㎡,平层,塔楼,中楼层(共17层),暂无数据,暂无,北,钢混结构,简装,,有,,光大东门有银行：距离中国银行100米、距离建设银行100米、距离农业银行100米、距离中国工商银行600米、广州银行150米~、离乐峰广场200米、距离（喜士多、七仔、ok便利店）300米；光大花园一期西门有饮食：距离红帆酒店500米、太古仓娱乐街1000米
满五年~、平层电梯~、大院~、供电局领导宿舍~、省同福。,280,30739,海珠,3室2厅1卫,91.09㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,南北,钢混结构,其他,,有,老城区配套成熟~、交通便利~、旺中带静。离滨江西~、同福西商圈近。~、医院有市三甲红十字会医院~、有菜市场。,
杏坛小区 小区花园管理 电梯房 江南二 厅出阳台,255,39243,海珠,2室1厅1卫,64.98㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东南,钢混结构,其他,,有,江南西商圈~、入则宁静~、出则繁华~、小区安静舒适~、人文环境好富力海珠城、工商银行、建设银行、民生银行、农业银行等...骨伤科医院、海珠区妇幼、红十字会医院、广医二院、广东省口腔医院等..,此小区交通便利地铁江南西2号线700米~、公交：江南新村公交车站、海珠区妇幼公交站、江南新村（骨伤科医院）站~、江南西地铁、沙园地铁、宝岗大道地铁、凤凰新村地铁；
少有放盘的高层南向两房 居住上學更安心,320,51456,海珠,2室1厅1卫,62.19㎡,平层,塔楼,中楼层(共11层),暂无数据,暂无,南北,钢混结构,其他,,有,海珠区府旁~、环境好~、小区旁边有东川新街肉菜市场~、主干道广州大道南另一侧是合生广场和某达广场~、商场逛街方便。,公交站有广州大道南（叠景路口）站~、全市各区的路线基本都有。地铁有3号线大塘站~、也将是11号线环城线其中一站。
江南大道中楼梯3房  有电梯位,168,28480,海珠,3室1厅1卫,58.99㎡,平层,板楼,高楼层(共8层),暂无数据,暂无,南,钢混结构,精装,,,300米内有富力海珠城、丽日广场、江南西步行街~、200米内有江南东市场和Ｗan松园市场~、700米内有晓港公园和广海游泳池~、1000米内有广医二院、海珠区中医医院、广州中医药大学附属第三医院骨伤科分院~、配套成熟~、生活便利。,交通出行：150米处有地铁2号线“江南西站”~、楼下有公交车站。
星汇湾花园 4室2厅 东南,695,60593,海珠,4室2厅2卫,114.7㎡,平层,塔楼,中楼层(共55层),暂无数据,暂无,东南,钢混结构,其他,,有,,
世港花园 3室1厅 北,650,63864,海珠,3室1厅1卫,101.78㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,北,钢混结构,其他,,有,,
高楼层东南向三房户型~、装修保养新净~、拎包入住,580,64994,海珠,3室1厅1卫,89.24㎡,平层,板楼,高楼层(共26层),暂无数据,暂无,南,钢混结构,其他,,有,环境优美~、出入方便~、24小时有保安值班~、配套成熟~、交通方便~、有多条线路通广州其他区域,地铁八号线鹭江站1000米距离楼下就是中大北门公交站~、途径的公交线路有8、11、24、121、131、182、229、247等
沙园广重社区 电梯户型方正两房 高层光线视野好 菩小,199,35030,海珠,2室1厅1卫,56.81㎡,平层,塔楼,高楼层(共10层),暂无数据,50.43㎡,东南西北,钢混结构,精装,,有,市场：沙园批发菜市场：兴安购物店华润家便利店永旺大型购物商场乐峰广场。医院：红十字会医院、南方医科大学珠江医院、广州医科大学附属第二医院等~、公园：庄头公园沙园公园,地铁有8号线宝岗大道站~、广佛线沙园站~、公交站有沙园公交站~、橡胶新村站~、昌岗中总站。出行很方便。
市二宫~、原装电梯两房~、户型方正~、采光好,170,26308,海珠,1室1厅1卫,64.62㎡,平层,塔楼,低楼层(共28层),暂无数据,暂无,南,钢混结构,其他,,有,市二宫成熟繁华商圈~、300米内配套包括：地铁：2号线市二宫站；公交：20条线路以上；购物：同乐汇~、V国广场~、益丰广场~、倾城汇以及菜市场~、各类店铺等；餐饮娱乐一条龙,300米20条公交线路~、江南大道中站~、基立村站~、基立下道站。300米二号线市二宫站~、沿线速达市区多个繁华商圈。北行一站到海珠广场~、二站到公园前~、三站中山纪念堂~、四站越秀公园~、五站到广州火车站；南行一站到江南西~、二站到昌岗
电梯两房 东南向 全明方正户型 采光视野好,210,33822,海珠,2室1厅1卫,62.09㎡,平层,板楼,中楼层(共9层),暂无数据,暂无,东南,钢混结构,其他,,有,医院/银行/市场；孙逸仙附属第二医院南院；工商银行、农业银行、中国银行、建设银行、民生银行、沃尔玛,南洲北路总站~、公交有836路247总站239路779路夜33路地铁有地铁2号线10号线（明年开通）广佛线
雅郡花园精装大五房三卫  高层视野好,960,59665,海珠,5室2厅3卫,160.9㎡,平层,塔楼,高楼层(共11层),暂无数据,暂无,东,钢混结构,其他,,有,,小区楼下就有公交站262~、可接驳到胜围乘坐8号线地铁或转乘其他的公交线路
江南西路 3室1厅 东南,268,35497,海珠,3室1厅1卫,75.5㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东南,钢混结构,其他,,,,
穗花新村 3室1厅 南 北,290,45952,海珠,3室1厅1卫,63.11㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,南北,钢混结构,精装,,,,
此房过五年 交通方便配套成熟 适合新婚上车房,245,40705,海珠,2室1厅1卫,60.19㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,南,钢混结构,其他,,有,餐饮：江燕市场、晓燕湾市场、泰宁市场~、燕子岗体育场~、银行：建设银行、工商银行~、广州银；商场：anke里广场~、燕汇广场~、江泰广场、bai佳chao市、华润chao市。医院：广州医学院第二附属医院、口腔医院、珠江医院、石溪中医院、江南外科医院。,公交：13路、25路、527路~、544路、180路、183路、B9路地铁：2号线江泰路站、11号线广州环城线
光大花园 少有安静区域 视野开阔 保养好 户型方正,510,53781,海珠,3室1厅1卫,94.83㎡,平层,塔楼,中楼层(共11层),暂无数据,暂无,北,钢混结构,其他,,有,光大东门有银行：距离中国银行100米、距离建设银行100米、距离农业银行100米、距离中国工商银行600米、广州银行150米；的市：离乐峰广场200米、距离（喜士多、七仔、ok便利店）300米；光大花园一期西门有食肆~、距离红帆酒店500米、太古仓娱乐街1000米,距离八号线/广佛线沙园地铁站200米~、小区门口公交站有光大花园总站~、可以到达广州多个地方。
会展世界城 精装南向面花园 地铁口直达上楼,728,84426,海珠,2室2厅1卫,86.23㎡,平层,平房,中楼层(共8层),暂无数据,暂无,南,钢混结构,其他,,有,小区旁有保利广场、琶洲购物广场~、天幕广场~、吃喝玩乐一应俱全~、医疗设施距离800米左右有琶洲社区服务站、距离960米有广州海珠龙大医院,会展世界城~、交通便利。紧靠城市主干道——新港东路~、距离8号线地铁站30米距离有轨电车200米还有多条公交车接驳
椰诚苑 3室1厅 南,386,40221,海珠,3室1厅1卫,95.97㎡,平层,塔楼,中楼层(共18层),暂无数据,暂无,南,钢混结构,简装,,有,,
翠城8期高层2房视野采光通风很好,368,48143,海珠,2室1厅1卫,76.44㎡,平层,塔楼,高楼层(共11层),暂无数据,暂无,北,钢混结构,精装,,有,商城有燕汇广场~、合生生活广场~、昌岗信和广场~、江泰路科里~、华润~、家乐福~、盒马鲜生等~、市场有南泰货市场~、泉塘市场~、沙园西华市场等~、公园有庄头公园~、沙园公园~、晓港公园等~、配套齐全。,距八号线宝岗地铁站300米~、广佛线燕岗站1000米~、二号线江泰地铁站900米~、公交站有珠江医院总站~、南泰路西站~、昌岗路口站~、橡胶新村站~、翠宝路站~、珠江南景园总站。
正望小区 楼层好 南北对流 三房~、户型靓采光好,600,53206,海珠,3室2厅2卫,112.77㎡,平层,塔楼,中楼层(共33层),暂无数据,暂无,南北,钢混结构,其他,,有,规划设有文化活动站、肉菜市场、社区居委会等商场：新一城盒马生鲜富力海珠城~、金逸影城。太古仓码头酒吧街。医院：广州市海珠区妇幼保健院银行：中国农业银行、中国工商银行。,地铁：8号线凤凰新村站~、2号线江南西站~、公交：10、13、14、44、82、129、812、813、206、222、197、190、530、244路。
70年产权 满5年唯一 北向望广州塔 采光通风 精装修,238,38826,海珠,3室1厅1卫,61.3㎡,平层,塔楼,高楼层(共30层),暂无数据,42.77㎡,北,钢混结构,精装,,有,配套齐全~、商圈成熟~、500米以内有各大银行支行~、赤岗地铁站。1公里左右有客村地铁站、磨碟沙公园、影城~、有丽影广场~、沃尔玛~、广东省第二人民医院~、四二一医院~、还有大型的娱乐场~、KTV~、肯德基等等,地铁八号线（赤岗站）~、公交：赤岗路口站、赤岗总站~、264A、大学城专线3、37、206、139路~、14路~、189路~、206路~、270路~、252路~、131A路~、131B路等路线
中海名都东南向两房  业主诚意卖 采光好,436,52235,海珠,2室2厅1卫,83.47㎡,平层,塔楼,低楼层(共38层),暂无数据,暂无,东南,钢混结构,其他,,有,小区：会所~、游泳池~、网球场~、中式餐厅与西式餐厅；银行：中国银行~、广州银行~、建设银行~、工商银行；购物：好又多~、家乐福~、盒马~、华润Van家~、71（seveneleven）便利店~、OK便利店~、全家family便利店；医院：红十字会~、广医二院~、名都街滨江街社区,小区地下一层停车场新建地下配建了2层停车场自驾可直接上内环和江湾路到琶洲到珠江新城番禺Van博都很方便楼下有公交总站江湾桥南站乘坐地铁出西门到2号线市二宫站最近的是B出口
安静花园小区  东南靓向 三房带主人套房 户型方正,358,33803,海珠,3室2厅2卫,105.91㎡,平层,塔楼,中楼层(共16层),暂无数据,90.97㎡,南,钢混结构,精装,,有,小区内部配套泳池、网球场、幼儿园、市场、公交车站~、医院:海珠区妇幼保健院、爱心动物医院(宝岗大道)、广州中医药附属骨伤科医院,
低密度望泳池大四房~、视野开阔美丽,818,55297,海珠,4室2厅2卫,147.93㎡,平层,塔楼,低楼层(共32层),暂无数据,117.46㎡,北,钢混结构,其他,,有,,
江南新苑三期精装3房 东南北单边 望广州塔与小区花园,650,64806,海珠,3室2厅1卫,100.3㎡,平层,塔楼,中楼层(共30层),暂无数据,79.13㎡,东北,钢混结构,精装,,有,小区：壁球场、乒乓球室、桑拿室、玻璃咖啡屋、室内室外景观泳池、儿童天地、西餐厅、多功能室、桌球室、棋艺室、阅览室、健身室、露天高尔推杆练习场、会所、室外网球场。,8号线中大地铁站C1出口步行530米或晓港D出口469米。怡乐村站~、多路公交路线：188路~、197路~、B9路~、565路~、264路~、53路~、208路~、823路~、197路~、263路等。
电梯大两房 高楼层 双阳台 户型好 小区位置安静,198,27042,海珠,2室2厅1卫,73.22㎡,平层,塔楼,高楼层(共9层),暂无数据,67.5㎡,西南,钢混结构,精装,,有,小区距离燕子岗工行150米左右~、距离体育场和体育馆200米左右~、距离红棉肉菜市场和晓燕湾肉菜市场300米左右~、距离燕汇广场~、商场~、江泰广场~、润政广场600米左右,小区距离2号线江泰地铁站500米左右的距离~、距离燕子岗公交站150米左右~、有多班开往市区各个地方的公交车
通透四房 装修新 保养好  带园子,1085,61585,海珠,4室2厅2卫,176.18㎡,平层,板楼,低楼层(共6层),暂无数据,暂无,南北,钢混结构,其他,,有,配套完善东边黄埔古港王胜广场保利广场商场地铁4.8号线胜围站交通四通八达,
：贝壳甄选~、一线望江~、楼距宽视野开阔~、南北对流,4090,159361,海珠,4室2厅3卫,256.65㎡,平层,塔楼,低楼层(共40层),暂无数据,207.22㎡,南,钢混结构,精装,,有,一江一景三公园小区步行800米内南面有保利广场~、旺胜围广场等大型shoppingmall~、北面近珠江边有天幕广场~、消遣游玩举步即达~、西靠琶洲塔公园~、旁边就是六元素商场~、日常生活需求都能满足。,地铁:8号线和4号线完胜围站~、有轨电车琶洲塔站就在小区西侧~、西边有科韵路~、东边有环城高速~、开车出行也很方便~、有车陂路-新港东路过江隧道。
宝岗 昌岗 昌岗中路 大院管理 两房一厅 户型方正,130,23981,海珠,2室1厅1卫,54.21㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东,钢混结构,其他,,,出门就是公交站~、地铁宝岗站~、交通方便；距离珠江医院100米~、广医二院等双三甲医院~、医疗设施完善~、为你健康保驾护航~、医疗无忧；楼下就有江南大戏院、生活市场、小吃店、餐饮店~、吃喝玩乐生活便利；瞬间可达沙园商圈、江南西商圈~、更可享精彩缤纷生活。,交通出行：途经公交车：25路;44路;69路;70路;186路;197路;206路;221路;222路;226路;244a路;244路;250路;299路;530路;780路;812路;813路;高峰快线22路;广565路;广夜103路;夜22路;夜29路;夜42路;夜44路;夜45路;夜93路地铁：出门就是八号线宝岗大道站C出口
丽景湾南向三房 通风采光好 有钥匙随时可看,738,70414,海珠,3室2厅2卫,104.81㎡,平层,塔楼,中楼层(共32层),暂无数据,88.96㎡,南,钢混结构,其他,,有,该小区属于一线江景小区~、出门即达珠江边~、散步跑步锻炼身体~、赏晨景夜景都很棒~、距离海心桥上和广州塔近~、小区旁边有柏丽广场~、生鲜商铺~、农贸市场~、购物美食都方便,珠江广场公交：8路、11路、24路、83路、121路、131路、182路、204路广州塔地铁站：地铁3号线、APM线
近地铁~、电梯两房~、望江景色~、采光充足~、配套设施齐全,225,34616,海珠,2室2厅1卫,65㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东,钢混结构,简装,,有,十三行时装~、新亚洲国际电子数码城~、南北广场~、富力金禧商务-商铺~、美宜佳(NO.9515店)~、南太日用工业品批发市场~、广州易传手机配件批发市场~、广州岭南国际电子数码广场~、粤景电子城~、华为客户服务（广州海珠宝岗店）,滨江西路南华西路人民桥同福西洪德五巷聚龙大街厚德路洲头咀隧道龙珠街工业大道北公交站洪德路车站地铁同福西地铁
南向望江三房~、无遮挡~、装修保养好,650,61635,海珠,3室2厅2卫,105.46㎡,平层,塔楼,中楼层(共32层),暂无数据,暂无,南,钢混结构,其他,,有,有乐峰广场、麦当劳~、盒马鲜生、太古仓电影院、春凤十里音乐餐厅~、邻近珠江边可以散步。交通出行有金沙公交站~、地铁沙园站等等,小区门口200米有公交站金沙站~、途径线路包括16、31、243、967、813；600米到广佛线与8号线交汇点沙园地铁站
正规一房 厅出阳台 户型方正 近地铁 装修保养好,165,37475,海珠,1室1厅1卫,44.03㎡,平层,塔楼,高楼层(共13层),暂无数据,33.87㎡,北,钢混结构,精装,,有,沃尔玛、新都荟购物广场。医院：中山大学孙逸仙纪念医院南院。银行农业银行瑞宝支行、建设银行南洲路支行、中国银行南洲路支行。饮食：五谷拉肠、麦当劳、顶好味酸辣粉、晓港湾大酒楼~、娱乐：晓港湾休闲会所等,地铁2号线东晓南站171米~、公交南洲北路站：546~、263~、247~、960~、836~、239~、276~、779等多路公交
市二宫大院 环境好 安静  框架低层,248,37440,海珠,2室2厅1卫,66.24㎡,平层,塔楼,中楼层(共6层),暂无数据,66.24㎡,南,钢混结构,其他,,,医院：红十字会医院480米、广州医科大学一附属医院960米、海珠中医院970米、广东省口腔医院。商场：益丰广场375米、同乐汇商场、南村路小港路菜市场。银行有：中国银行245米、中国农业银行265米、中国建设银行和中国工商银行300米,地铁：距二号线市二宫站400米。公交：楼下有多条公交线路~、市二宫公交站165米、地铁市二宫站330米及江南大道北站380米~、小区出来同福东路左转到解放桥~、右转海珠桥~、去越秀荔湾~、天河等区域方便。
君华天汇四房 次新楼 专梯专户 使用率比产权面积大,920,76052,海珠,5室1厅2卫,120.97㎡,平层,塔楼,中楼层(共17层),暂无数据,96.93㎡,南北,钢混结构,其他,,有,,
愉景雅苑~、客村鹭江双地铁~、全新装修~、南向两房,450,59493,海珠,2室1厅1卫,75.64㎡,平层,塔楼,中楼层(共13层),暂无数据,暂无,东南,钢混结构,精装,,有,华润商场医院广州中医药大学附属医院第二门诊部广州市华南医疗器械有限公司医院装备工程分公司国家海洋分局职工医院赤岗街大江苑社区残疾人康复室广州市中医院江南分院银行中国建设银行广州第四支行江办事处,鹭江站途经的路线：14路、178路、53路、823路、88路、夜23路、夜24、夜30路。地铁：地铁8号线鹭江站A出口~、3号线客村地铁站B出口
穗花新村 原装电梯 有露台 单边位 新装修,248,34681,海珠,2室1厅1卫,71.51㎡,平层,塔楼,低楼层(共20层),暂无数据,暂无,南,钢混结构,简装,,有,,晓港公园就在隔壁~、它是海珠区天然氧吧。穗花二巷1号有专业健身房~、适合下班过后的身体锻炼。隔条马路就是富力海珠城和江南西路~、新一城~、购物吃饭十分方便。有C+电影院~、是娱乐好去处。地铁2号线江南西站C出口步行200米~、交通便利。
市二宫 富基广场B区 楼龄2014 高层望江 南向三房两卫,548,54033,海珠,3室2厅2卫,101.42㎡,平层,塔楼,高楼层(共44层),暂无数据,暂无,南西南,钢混结构,精装,,有,,地处珠江新城10公里范围内主城区~、近内环路口~、自驾出行便捷~、100米即达公交江南大道北站~、目前是地铁市二宫站上盖~、已规划高速地铁28号线~、将建成双地铁换乘站~、通达全城东西南北。
龙华苑同福中壹马赛克大院管理生活便利,188,29611,海珠,2室1厅1卫,63.49㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,南,钢混结构,其他,,,商场：乐峰广场~、江南西步行街、新一城、国美电器、苏宁电器；市场：龙导尾市场、沙园市场；银行：中国银行、建设银行、工商银行、农业银行、农商银行、邮政储蓄；医院：海珠区妇幼~、红会医院。,铁站：8号线一凤凰新村~、2号线一市二宫；公交站：宝岗大道中、南田路、宝岗大道总站、广东药学院、广东药学院总站、南田路总站
