标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
南向大三房、中高楼层视野开阔无遮挡、望小区花园安静,198,17109,南海,4室2厅1卫,115.73㎡,平层,塔楼,中楼层(共18层),暂无数据,暂无,南,钢混结构,精装,,有,永润广场、百信广场、家乐福、好又多、永乐电器、国美、苏宁、华润万家、糖果万佳、7-11便利店、卜蜂莲花、国昌新城市广场,与金沙洲大桥、内环路相接、环城高速、广佛高速、佛山一环快速连接珠三角。公交：974、里10、广夜91、广657等等。其中974、广657和里07公交车可快速到达地铁6号线浔峰岗站
时代水岸二期 配套齐全 地理位置好 全新精装修,346,27076,南海,4室2厅2卫,127.79㎡,平层,塔楼,低楼层(共29层),暂无数据,暂无,东南,钢混结构,精装,,有,门口就有银行.大型市场.KTV.酒店.餐饮.等可满足日常需求、另外距离万达广场、国昌广场、金柏天地等大型购物广场只有2公里,有广州环城高速、广佛高速、沈海高速广州支线广佛新干线公交：广277.广夜58（沙面新城站）等等20条线接驳广州东站天河城珠江新城北京路
满五唯一、税费低、通风采光好.,170,19216,南海,3室2厅1卫,88.47㎡,平层,板塔结合,高楼层(共45层),暂无数据,暂无,西北,钢混结构,精装,,有,饮食：麦当劳、金汇景海鲜酒家、湘村馆、金沙喜宴大酒楼等；二、商场：广百百货、华润万家、永旺梦乐城；三、公园：浔峰山森林公园、滨江公园；四、医院：金沙洲首家三甲-广州中医药大学附属医院。,小区门口有金名都公交车站、去广州6号线地铁浔峰岗站、2~3个站、有里07、广231、974等车线高速路口：沙贝站、泌冲站、里水佛山一环段。还有广州12号地铁站就在小区旁、2025年底开通！
金名都  不爬坡三房两卫  东南向  无抵押,238,26154,南海,3室2厅2卫,91㎡,平层,板塔结合,低楼层(共45层),暂无数据,暂无,东南,钢混结构,精装,,有,,小区门口有金名都公交车站、去广州6号线地铁浔峰岗站、三个站、有里07、广231、974等车线高速路口：沙贝站、泌冲站、里水佛山一环段
新装修保养好 安静舒适 12号线地铁 刚需三房两卫,208,22953,南海,3室2厅2卫,90.62㎡,平层,板塔结合,低楼层(共45层),暂无数据,69.24㎡,东南,钢混结构,精装,,有,步行100米可到达广百百货、沙田美食。2公里范围内有永润、、永旺梦乐城、国昌广场、万、衣食住行无,步行100米可到达广百百货、沙田美食金沙汇、永旺梦乐城、国昌广场、万达星港城等大型购物综合体、衣食住行无一交通出行：地铁12号线建设中、门口即为公交枢纽站——金名都站、、出行便捷
急售 南区东南向望江 视野开阔、 户型方正、产权清晰,400,28257,南海,4室2厅2卫,141.56㎡,平层,塔楼,低楼层(共50层),暂无数据,暂无,南,钢混结构,精装,,有,海北综合市场综合商场金沙洲金铂天地、万达广场、国昌新城市广场、海北广场、嘉州广场、金沙童话王国、梦车小镇（招商中）、宝轮海鲜市场（2017年运营）、永旺梦乐城、金沙大都汇,有广州环城高速、广佛高速、沈海高速广州支线广佛新干线公交：广277.广夜58（沙面新城站）等等20条线接驳广州东站天河城珠江新城北京路
全新未住 高层东南向望江 视野开阔、产权清晰,400,28245,南海,4室2厅2卫,141.62㎡,平层,塔楼,高楼层(共50层),暂无数据,暂无,南,钢混结构,精装,,有,海北综合市场综合商场金沙洲金铂天地、万达广场、国昌新城市广场、海北广场、嘉州广场、金沙童话王国、梦车小镇（招商中）、宝轮海鲜市场（2017年运营）、永旺梦乐城、金沙大都汇,有广州环城高速、广佛高速、沈海高速广州支线广佛新干线公交：广277.广夜58（沙面新城站）等等20条线接驳广州东站天河城珠江新城北京路
糖果二期 南向三房一卫 格局好 业主自住 保养好,135,15654,南海,3室1厅1卫,86.24㎡,平层,塔楼,低楼层(共17层),暂无数据,暂无,南,钢混结构,精装,,有,商场：永润广场、沙田中*心、华润万家、卜蜂莲花、广百百货、金沙国际广场、金铂天地、万达广场、国昌新城市广场。医院：广州中医药大学金沙洲医院、南海仁和中医院、南方医科大学南海医院。市场：草场肉菜市场、洲村市场。银行：工行、建行、中行、农行。,据规划、预计2024年底前小区旁边开通地铁与有轨电车！！！公交：231、974、里07、里10、广夜91、广657等等、其中974、广657和里07公交车可快速到达地铁6号线浔峰岗站。与金沙洲大桥、内环路相接、环城高速、广佛高速、佛山一环快速连接珠三角。
金名都 3室2厅 南 北,170,18649,南海,3室2厅2卫,91.16㎡,平层,板塔结合,高楼层(共32层),暂无数据,暂无,南北,钢混结构,精装,,有,,
金沙里南向四房  装修保养不错,380,29008,南海,4室2厅2卫,131㎡,平层,塔楼,低楼层(共48层),暂无数据,暂无,北南,钢混结构,其他,,有,小区楼下即为商铺街、步行200米可到达广百百货、沙田美食。2公里范围内有永润、金沙汇、永旺梦乐城、国昌广场、万达星港城等大型购物综合体、饮食品：麦当劳、金汇景海鲜酒家、湘村馆、金沙喜宴大酒楼等；医院：金沙洲首家三甲-广州中医药大..,地铁12号线建设中、门口即为公交枢纽站——金名都站、十几条公交路线穿梭广佛、出行便捷
多两个阳台空间 保养新净 业主诚意出售,160,18366,南海,3室2厅1卫,87.12㎡,平层,板楼,低楼层(共6层),暂无数据,暂无,西北,钢混结构,其他,,有,万达、金铂、永旺、广百等大型广场。有广附、华侨、中大附属外语、金沙、泌冲、海北等。金沙、黄岐职校、横沙、城西、四季花城等幼儿园。中国、民生、工商、建设等银行。横沙卫生站、荔湾区门诊部、金沙洲、黄岐医院。还配有健身房、蓝球场、游泳馆等。,小区大门口就是公交车站、地铁6号线、公交车276路、283路、12路、高峰30路、有去往广州以及佛山的各路公交车、广佛高速、环城高速、四通八达、交通便利。
金名都三房两卫  业主自住保养好  产权清晰,205,22690,南海,3室2厅2卫,90.35㎡,平层,板塔结合,低楼层(共45层),暂无数据,暂无,南,钢混结构,精装,,有,饮食：麦当劳、金汇景海鲜酒家、湘村馆、金沙喜宴大酒楼等；二、商场：广百百货、华润万家、永旺梦乐城；三、公园：浔峰山森林公园、滨江公园；四、医院：金沙洲首家三甲-广州中医药大学附属医院。,小区门口有金名都公交车站、去广州6号线地铁浔峰岗站、三个站、有里07、广231、974等车线高速路口：沙贝站、泌冲站、里水佛山一环段。
御景湾望江三房  高层景观好  无遮挡私密性强,300,32723,南海,3室1厅1卫,91.68㎡,平层,塔楼,高楼层(共58层),暂无数据,暂无,东南,钢混结构,精装,,有,饮食购物：小区旁边就是大型购物商城广百百货、大型美食场所沙田中心、肯德基麦当劳星巴克等；公园：浔峰山公园、滨江公园医院：广州中医药大学附属医院银行：中国银行、工商银行、建设银行、农业银行、农商银行一应俱全,小区门口100米就是公交站、三站直达浔峰岗地铁口、上班出行方便、公交车次多无需等待广州12号线在建、届时与地铁站仅相距五百米
御景湾望江三房  高层景观好  无遮挡私密性强,300,32737,南海,3室2厅1卫,91.64㎡,平层,塔楼,高楼层(共58层),暂无数据,暂无,东北,钢混结构,精装,,有,饮食购物：小区旁边就是大型购物商城广百百货、大型美食场所沙田中心、肯德基麦当劳星巴克等；公园：浔峰山公园、滨江公园医院：广州中医药大学附属医院银行：中国银行、工商银行、建设银行、农业银行、农商银行一应俱全,小区门口100米就是公交站、三站直达浔峰岗地铁口、上班出行方便、公交车次多无需等待广州12号线在建、届时与地铁站仅相距五百米
岐海苑 高层两房 户型方正实用 采光好 业主诚意出售,103,14231,南海,2室1厅1卫,72.38㎡,平层,塔楼,中楼层(共17层),暂无数据,暂无,北,钢混结构,简装,,有,万达广场、金铂天地等、医院：广州中医药大学附属骨伤科医院第二门诊部、黄岐医院银行：农业银行、工商银行、中国银行、招商银行、建设银行4.餐饮：餐饮发达、各种美食店,金沙洲总站、金沙洲路站、中海金沙湾总站、途经线路包括205路、283路、夜54路、42路、424路、429路、429A路、885路。看中海金沙湾至广州城区的交通四通八达、目前可经金沙洲大桥直通广州市内环路、也可向南通过珠江大桥
此房急售 满五唯一 高层东南向望江采光充足、视野开阔,200,21313,南海,3室2厅2卫,93.84㎡,平层,塔楼,高楼层(共30层),暂无数据,暂无,东南,钢混结构,精装,,有,门口就有银行.大型市场.KTV.酒店.餐饮.等可满足日常需求、另外距离万达广场、国昌广场、金柏天地等大型购物广场只有2公里,有广州环城高速、广佛高速、沈海高速广州支线广佛新干线公交：广277.广夜58（沙面新城站）等等20条线接驳广州东站天河城珠江新城北京路
御景湾  业主重新装修  拎包能入住  漂亮的两房,210,22684,南海,2室1厅1卫,92.58㎡,平层,板塔结合,低楼层(共33层),暂无数据,暂无,东,钢混结构,精装,,有,饮食购物：小区旁边就是大型购物商城广百百货、大型美食场所沙田中心、肯德基麦当劳星巴克等；公园：浔峰山公园、滨江公园医院：广州中医药大学附属医院银行：中国银行、工商银行、建设银行、农业银行、农商银行一应俱全,小区门口100米就是公交站、三站直达浔峰岗地铁口、上班出行方便、公交车次多无需等待广州12号线在建、届时与地铁站仅相距五百米
白天鹅花园 临江小区  拎包即住 大三房 业主有心卖,245,18592,南海,3室1厅2卫,131.78㎡,平层,塔楼,低楼层(共27层),暂无数据,110.46㎡,北,钢混结构,精装,,有,海北综合市场、国昌新城市广场、万达广场、永旺梦乐城、金箔天地、新荔湾幼儿园、沙面新城幼儿园.,白天鹅花园小区门口就有132、132可以到广州滘口地铁站中山八路、行前600米有653.789可以到金沙洲.随时往返广佛很方便：210a路、佛230路、佛276路、沥18路、沥07路
时代糖果二期 3室2厅 南 北,198,17568,南海,3室2厅2卫,112.71㎡,平层,塔楼,高楼层(共18层),暂无数据,暂无,南北,钢混结构,简装,,有,,
御景湾 一线望江3房 高层视野开阔 景观好 装修新净,245,26980,南海,3室2厅1卫,90.81㎡,平层,塔楼,高楼层(共58层),暂无数据,暂无,东北,钢混结构,精装,,有,永润广场、百信广场、家乐福、好又多、永乐电器、国美、苏宁、华润万家、糖果万佳、7-11便利店、卜蜂莲花、国昌新城市广场,公交车：直通社区、途经线路有213路、257路、259路、289路、290路、夜16路、12路、276路、283路、高峰30、55路、974路。里07路、里07B路
此房保养清新、安静、光线好、有小露台、无按揭,110,14431,南海,3室2厅1卫,76.23㎡,平层,塔楼,低楼层(共17层),暂无数据,61.57㎡,东南,钢混结构,精装,,有,商场：永润广场、沙田中*心、华润万家、卜蜂莲花、广百百货、金沙国际广场、金铂天地、万达广场、国昌新城市广场。医院：广州中医药大学金沙洲医院、南海仁和中医院、南方医科大学南海医院。市场：草场肉菜市场、洲村市场。银行：工行、建行、中行、农行。,据规划、预计2024年底前小区旁边开通地铁与有轨电车！！！公交：231、974、里07、里10、广夜91、广657等等、其中974、广657和里07公交车可快速到达地铁6号线浔峰岗站。与金沙洲大桥、内环路相接、环城高速、广佛高速、佛山一环快速连接珠三角。小区介..
地铁沿线、中高层一线望江、三期物业、证够五年。,200,21940,南海,2室2厅1卫,91.16㎡,平层,塔楼,高楼层(共58层),暂无数据,暂无,北,钢混结构,精装,,有,永润广场、百信广场、家乐福、好又多、永乐电器、国美、苏宁、华润万家、糖果万佳、7-11便利店、卜蜂莲花、国昌新城市广场,公交车：直通社区、途经线路有213路、257路、259路、289路、290路、夜16路、12路、276路、283路、高峰30、55路、974路。里07路、里07B路
糖果南向三房二卫带主套、带入户花园、无遮挡、无按揭,190,14767,南海,3室2厅2卫,128.67㎡,平层,塔楼,中楼层(共18层),暂无数据,107.3㎡,南,钢混结构,精装,,有,,
时代 糖果三期精装2房 拎包入住,115,14908,南海,2室1厅1卫,77.14㎡,平层,塔楼,低楼层(共18层),暂无数据,暂无,东北,钢混结构,精装,,有,商场：永润广场、沙田中*心、华润万家、卜蜂莲花、广百百货、金沙国际广场、金铂天地、万达广场、国昌新城市广场。医院：广州中医药大学金沙洲医院、南海仁和中医院、南方医科大学南海医院。市场：草场肉菜市场、洲村市场。银行：工行、建行、中行、农行。,据规划、预计2024年底前小区旁边开通地铁与有轨电车！！！公交：231、974、里07、里10、广夜91、广657等等、其中974、广657和里07公交车可快速到达地铁6号线浔峰岗站。与金沙洲大桥、内环路相接、环城高速、广佛高速、佛山一环快速连接珠三角。小区介绍.
新荔湾花苑   总价低  户型方正  采光充足,22,8584,南海,1室0厅1卫,25.63㎡,平层,塔楼,高楼层(共8层),暂无数据,暂无,东,钢混结构,简装,,,新荔湾幼儿园、沙面幼儿园、沙溪幼儿园!综合商场:多又惠市、华润万家、苏宁电器、梁植伟纪念医院银行:中国银行、中国工商银行、中国建设银行、中国农业银行嘉洲广场、万达广场、麦当劳、肯德基、黄岐食街、黄岐步行街,广132路、广789路、广653路、广277路佛210路、佛230路、佛276路、沥18路、沥07路、等等.
时代水岸 改善4房  高楼层电梯 视野好 户型方正,286,22483,南海,4室2厅2卫,127.21㎡,平层,塔楼,高楼层(共33层),暂无数据,暂无,北南,钢混结构,精装,,有,门口就有银行.KTV.酒店.餐饮.等可满足日常需求、另外距离万达广场、国昌广场、金珀天地等大型购物广场只有2公里、离地铁口3.4公里、步行100m有公交接驳。,永旺梦乐城、金沙大都汇有广州环城高速、广佛高速、沈海高速广州支线广佛新干线公交：广277.广夜58（沙面新城站）等等20条线接驳广州东站天河城珠江新城北京路
业主诚心出售 采光充足 配套成熟,130,12736,南海,3室2厅2卫,102.08㎡,平层,塔楼,高楼层(共8层),暂无数据,暂无,南,钢混结构,毛坯,,,新荔湾幼儿园、沙面幼儿园、沙溪幼儿园!综合商场:多又惠市、华润万家、苏宁电器、梁植伟纪念医院银行:中国银行、中国工商银行、中国建设银行、中国农业银行嘉洲广场、万达广场、麦当劳、肯德基、黄岐食街、黄岐步行街,广132路、广789路、广653路、广277路佛210路、佛230路、佛276路、沥18路、沥07路、等等.
新希望金洲府 4室2厅 东南,338,30418,南海,4室2厅2卫,111.12㎡,平层,板塔结合,中楼层(共26层),暂无数据,暂无,东南,钢混结构,精装,,有,,
时代水岸一期、高层小三房　视野开阔　采光通风好,165,20179,南海,3室2厅1卫,81.77㎡,平层,塔楼,中楼层(共34层),暂无数据,暂无,北,钢混结构,精装,,有,综合商场万达广场、国昌新城市广场、海北广场、嘉州广场、金沙童话王国、梦车小镇（招商中）、宝轮海鲜市场（2017年运营）、永旺梦乐城、金沙大都汇,地铁6号线、5号线、佛276路、653路、12路、高30路等多路公交通往广佛
时代水岸一期 大四房望江户型 精装修保养好 诚心出售,243.8,21566,南海,4室2厅2卫,113.05㎡,平层,塔楼,高楼层(共34层),暂无数据,暂无,南,钢混结构,精装,,有,门口就有银行.大型市场.KTV.酒店.餐饮.等可满足日常需求、另外距离万达广场、国昌广场、金柏天地等大型购物广场只有2公里,有广州环城高速、广佛高速、沈海高速广州支线广佛新干线公交：广277.广夜58（沙面新城站）等等20条线接驳广州东站天河城珠江新城北京路
沙面新城 房子满五年 电梯实用两房全屋精装修,117,15569,南海,2室1厅1卫,75.15㎡,平层,塔楼,中楼层(共8层),暂无数据,暂无,东,框架结构,精装,,,白沙市场、海北综合市场、国昌城市广场、黄岐医院、农业银行、中国银行、建设银行,沙面新城站公交线路如下：广205路、广132路、广277路、快线57路、桂19路、沥08路、沥07路等
时代水岸2期 高楼层   全线望江 位置安静 诚心出售,225,23331,南海,3室2厅2卫,96.44㎡,平层,塔楼,中楼层(共50层),暂无数据,暂无,西北,钢混结构,精装,,有,门口就有银行.KTV.酒店.餐饮.等可满足日常需求、另外距离万达广场、国昌广场、金珀天地等大型购物广场只有2公里、离地铁口3.4公里、步行100m有公交接驳。,永旺梦乐城、金沙大都汇有广州环城高速、广佛高速、沈海高速广州支线广佛新干线公交：广277.广夜58（沙面新城站）等等20条线接驳广州东站天河城珠江新城北京路
嘉莉诗花园 安静舒适 大两房 装修保养好 有钥匙,113,12375,南海,2室2厅1卫,91.32㎡,平层,暂无数据,高楼层(共6层),暂无数据,暂无,南,框架结构,简装,,,白沙市场、海北综合市场、国昌城市广场、黄岐医院、农业银行、中国银行、建设银行,门口公交车站路线包括277.205.132.08.07.279.276
金名都西区近大门中楼层南向两卫三房,200,21940,南海,3室2厅2卫,91.16㎡,平层,板塔结合,低楼层(共45层),暂无数据,暂无,东南,钢混结构,精装,,有,,离广州地铁浔峰岗地铁站3个公交站、距离1.7公里。途径公交有广231、974、657、里07路公交车。广州12号线地铁站（在建中2024年通车）距离本小区600米。
金沙里大四房、一线望江、东南向、好房等您来,370,28031,南海,4室2厅2卫,132㎡,平层,塔楼,中楼层(共48层),暂无数据,暂无,东南,钢混结构,精装,,有,金沙洲菜市场、洲村菜市场、里水影城、浔峰山公园、广百广场、里水医院、广州中医药大学附属医院金沙洲医,中海金沙里小区楼下有多路公交站通往广州和佛山：里07、231、657、佛沥182等、2站公交车到浔峰岗地铁站、5站到火车站。房主自荐(业主对房源的描
金沙公馆现房、看房有密码、随时可以看~,320,27353,南海,4室2厅2卫,116.99㎡,平层,暂无数据,中楼层(共33层),暂无数据,暂无,东南,钢混结构,精装,,有,永润广场、沙田中*心、华润万家、卜蜂莲花、广百百货、金沙国际广场、金铂天地、万达广场、国昌新城市广场。医院：广州中医药大学金沙洲医院、南海仁和中医院、南方医科大学南海医院。市场：草场肉菜市场、洲村市场。银行：工行、建行、中行、农行。,公交车：直通社区、途经线路有213路、257路、259路、289路、290路、夜16路、12路、276路、283路、高峰30、55路、974路。里07路、里07B路地铁六号线、沙贝、横沙、浔峰岗站。
时代糖果二期 2室2厅 东北,118,15242,南海,2室2厅1卫,77.42㎡,平层,塔楼,中楼层(共18层),暂无数据,61.57㎡,东北,钢混结构,精装,,有,,
糖果2期南向一室一厅过五年唯一业主诚意出售88万！,88,15450,南海,1室1厅1卫,56.96㎡,平层,塔楼,中楼层(共17层),暂无数据,44.5㎡,西南,钢混结构,精装,,有,小区配套还算比较成熟、离小区800米的地方有金峰洲xx、离小区100米的地方有永润广场和卜峰莲花等。,
2+1户型、高楼层、产权清晰、无按揭,120,15415,南海,2室2厅1卫,77.85㎡,平层,塔楼,高楼层(共18层),暂无数据,63.9㎡,东北,钢混结构,精装,,有,商场：永润广场、沙田中*心、华润万家、卜蜂莲花、广百百货、金沙国际广场、金铂天地、万达广场、国昌新城市广场。医院：广州中医药大学金沙洲医院、南海仁和中医院、南方医科大学南海医院。市场：草场肉菜市场、洲村市场。银行：工行、农行、建行、中行,据规划、预计2024年底前小区旁边开通地铁与有轨电车！！！公交：231、974、里07、里10、广夜91、广657等等、其中974、广657和里07公交车可快速到达地铁6号线浔峰岗站。与金沙洲大桥、内环路相接、环城高速、广佛高速、佛山一环快速连接珠三角
时代水岸 装修保养新净三房 拎包入住,205,25077,南海,3室1厅1卫,81.75㎡,平层,塔楼,低楼层(共34层),暂无数据,暂无,东东北,钢混结构,精装,,有,门口就有银行.大型市场.KTV.酒店.餐饮.等可满足日常需求、另外距离万达广场、国昌广场、金柏天地等大型购物广场只有2公里,有广州环城高速、广佛高速、沈海高速广州支线广佛新干线公交：广277.广夜58（沙面新城站）等等20条线接驳广州东站天河城珠江新城北京路
金名都120方大三房、东南向。自住房保养很好,330,27303,南海,3室2厅2卫,120.87㎡,平层,板塔结合,高楼层(共32层),暂无数据,暂无,东南,钢混结构,精装,,有,饮食：麦当劳、金汇景海鲜酒家、湘村馆、金沙喜宴大酒楼等；二、商场：广百百货、华润万家、永旺梦乐城；三、公园：浔峰山森林公园、滨江公园；四、医院：金沙洲首家三甲-广州中医药大学附属医院。,小区门口有金名都公交车站、去广州6号线地铁浔峰岗站、1~2个站、有里07、广231、974等车线高速路口：沙贝站、泌冲站、里水佛山一环段。2023年还有广州12号线地铁在小区旁开通、实现广佛同城
中层采光通风好、户型方正实用、有位置加装电梯。,75,10680,南海,2室1厅1卫,70.23㎡,平层,塔楼,中楼层(共8层),暂无数据,暂无,西北,钢混结构,简装,,,新荔湾幼儿园、沙面幼儿园、沙溪幼儿园!综合商场:多又惠市、华润万家、苏宁电器、梁植伟纪念医院银行:中国银行、中国工商银行、中国建设银行、中国农业银行嘉洲广场、万达广场、麦当劳、肯德基、黄岐食街、黄岐步行街,广132路、广789路、广653路、广277路佛210路、佛230路、佛276路、沥18路、沥07路、等等.
此房高层、釆光通风好、无遮挡、,80,14036,南海,1室1厅1卫,57㎡,平层,塔楼,高楼层(共12层),暂无数据,暂无,北,钢混结构,精装,,有,商场：永润广场、沙田中*心、华润万家、卜蜂莲花、广百百货、金沙国际广场、金铂天地、万达广场、国昌新城市广场。医院：广州中医药大学金沙洲医院、南海仁和中医院、南方医科大学南海医院。市场：草场肉菜市场、洲村市场。银行：工行、建行、中行、农行。,
万科四季花城海棠苑 3室2厅 东南,188,17473,南海,3室2厅2卫,107.6㎡,平层,塔楼,低楼层(共6层),暂无数据,暂无,东南,框架结构,精装,,有,,
通风采光好  、安静舒适、诚意出售,168,18509,南海,3室1厅2卫,90.77㎡,平层,板塔结合,低楼层(共45层),暂无数据,暂无,西南,钢混结构,精装,,有,一、饮食：麦当劳、金汇景海鲜酒家、湘村馆、金沙喜宴大酒楼等；二、商场：华润、永旺梦乐城；三、公园：浔峰山森林公园、滨江公园；四、医院：金沙洲首家三甲-广州中医药大学附属医院,小区门口有金名都公交车站、去广州6号线地铁浔峰岗站、1~2个站、有里07、广231、974等车线高速路口：沙贝站、泌冲站、里水佛山一环段。2025年还有广州12号线地铁在小区旁开通、实现广佛同城！
满五年   中楼层     视野     无遮挡,165,18611,南海,3室2厅1卫,88.66㎡,平层,塔楼,低楼层(共48层),暂无数据,暂无,西北,钢混结构,精装,,有,金沙洲菜市场、洲村菜市场、里水影城、浔峰山公园、里水医院、广州中医药大学附属医院金沙洲医院。,中海金沙里小区楼下有多路公交站通往广州和佛山：里07、231、657、佛沥182等、2站公交车到浔峰岗地铁站、5站到火车站房主自荐(业主对房源的描述)
时代水岸一期、低层三房　视野开阔　采光通风好,158,19325,南海,3室1厅1卫,81.76㎡,平层,塔楼,低楼层(共34层),暂无数据,暂无,西北,钢混结构,简装,,有,综合商场万达广场、国昌新城市广场、海北广场、嘉州广场、金沙童话王国、梦车小镇（招商中）、宝轮海鲜市场（2017年运营）、永旺梦乐城、金沙大都汇,地铁6号线、5号线、佛276路、653路、12路、高30路等多路公交通往广佛
