标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
全屋定制靓房滨海新城花园中间中层看花园五房带车位,288,20139,南沙,5室2厅2卫,143.01㎡,平层,塔楼,低楼层(共33层),暂无数据,115.73㎡,西南,钢混结构,精装,,有,小区门口有便利店生鲜商店五金店理发店快餐店还有金沙。该有的基本都有。,
时代香海彼岸 3室2厅 南,170,17069,南沙,3室2厅2卫,99.6㎡,平层,塔楼,高楼层(共32层),暂无数据,暂无,南,钢混结构,其他,,有,,
灵山岛金茂湾南向三房高层无遮挡视野好、诚心出手,275,27700,南沙,3室2厅2卫,99.28㎡,平层,塔楼,高楼层(共38层),暂无数据,79.43㎡,南,钢混结构,精装,,有,,
户型方正、环境优美、小区园林一步一景。,297,20815,南沙,4室2厅2卫,142.69㎡,平层,板塔结合,低楼层(共31层),暂无数据,暂无,南,钢混结构,其他,,有,,
滨海新城中间楼层、安静舒适三房两卫、望花园,148,15713,南沙,3室2厅2卫,94.19㎡,平层,塔楼,中楼层(共33层),暂无数据,76.23㎡,北,钢混结构,精装,,有,越秀·滨海新城位于金洲板块、整体规模大、总户数达7000户、是南沙居住区中宜居的生活大城。社区内配置幼儿园、生活配套完善、生活氛围好、1公里左右范围有个焦门河儿童公园。,楼下就有两个公交车站、多个共享单车停放地点、两公里内有蕉门地铁站、金州地铁站
金洲配套成熟、产权清晰、小区环境优美,188,16692,南沙,3室2厅2卫,112.63㎡,平层,板塔结合,低楼层(共16层),暂无数据,暂无,南,钢混结构,精装,,有,配套齐全方便金洲菜市场华汇广场金洲街大型广场去地铁站只需要两公里。,出小区门口步行200米有公交站、接驳直达地铁站、庆盛高铁站。
南向三房、产权清晰、小区环境管理好。,190,17698,南沙,3室2厅1卫,107.36㎡,平层,塔楼,中楼层(共19层),暂无数据,暂无,南,钢混结构,精装,,有,小区面向黄山鲁森林公园、蝴蝶洲公园、绿化好、视野好。周末可以带老人和小孩在蝴蝶洲公园玩耍、沐浴阳光。,小区门口就有公交车站、直达18号线横沥站、南沙体育馆、中山附属医院、多条公交线路直达金州、蕉门地铁口、南沙客运站等等、规划南沙十五号线蝴蝶洲站就在家门口、驾车交通方便
万科海上明月 3室2厅 东,130,15657,南沙,3室2厅2卫,83.03㎡,平层,塔楼,低楼层(共27层),暂无数据,56.51㎡,东,钢混结构,其他,,,,
自住的、保养很好、过五唯一、通透户型,195,16537,南沙,3室2厅2卫,117.92㎡,平层,塔楼,高楼层(共18层),暂无数据,93.86㎡,南,钢混结构,其他,,有,医院：南沙人民医院、商场：望达广场、越秀总部广场综合体、大过望达的2.5倍。滨海隽城外语幼儿园、金洲地铁口、人民医院公交车站、望达广场公交站有到南沙各个区域,近金洲地铁口、南沙人民医院公交车站、望达广场公交站有到南沙各个区域、金洲的下一个蕉门地铁口是南沙的公交的总站、直达白云机场、广州南站、深圳机场等各大交通枢纽站、随着政府的投入、交通非常便利了！虎门二桥（也称南沙大桥）
南北对流、采光通透、楼下自带综合体广场,200,19231,南沙,3室2厅2卫,104㎡,平层,塔楼,高楼层(共18层),暂无数据,暂无,南,钢混结构,精装,,有,,
大岗少有电梯复式、视野开阔、看房方便,160,16267,南沙,3室2厅3卫,98.36㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东南,钢混结构,精装,,有,距离十八罗汉山森林公园仅500米、还有大岗公园、潭洲公园等多个生态公园环抱。,位于潭灵大道大岗镇政府旁、步行可达公交站、车行即到多家三甲医院
御苑140方 2梯三户 中层四房看小区园林 位置安静,288,20338,南沙,4室2厅2卫,141.61㎡,平层,塔楼,中楼层(共23层),暂无数据,暂无,南北,钢混结构,精装,,有,,出行方便、出门就有公交站、线路多、班次多。离高速路口近、去东莞、深圳、中山、都很方便。两个公交站的距离到达邮轮母港、可前往香港、日本、新加坡等、不用去机场也能出国了地铁：2.8公里到南沙客运港站（4号线起点站）公交:南沙18南沙19南沙53
户型方正格局好 、中间楼层、精致装修保养好！·,145,16370,南沙,2室1厅1卫,88.58㎡,平层,塔楼,中楼层(共28层),暂无数据,67㎡,东,钢混结构,精装,,有,小区楼下生活配套成熟完善有钱大妈肉联邦生鲜店乐鲜惠生活便利店等、小区有游泳池、篮球场、网球场、配套很完善。,门口就有公交车、可以到达南沙各地、东门400米到达飞沙角地铁口、5个站到达庆盛高铁站！
中惠壁珑湾 三房南向 看蕉门河景 保养好,300,24868,南沙,3室2厅2卫,120.64㎡,平层,板塔结合,中楼层(共30层),暂无数据,90.96㎡,南,钢混结构,其他,,有,,
南北对流 黄山鲁脚下 低密度住宅,230,21156,南沙,3室2厅2卫,108.72㎡,平层,塔楼,中楼层(共25层),暂无数据,83.6㎡,南北,钢混结构,精装,,有,隔壁有虎门大桥、过东莞深圳方便、一公里内有游艇会、国际邮轮母港、邮轮码头等,
此房满二、业主自住保养好 、多了一个大露台可用,135,14543,南沙,3室2厅1卫,92.83㎡,平层,板塔结合,低楼层(共32层),暂无数据,72.79㎡,东北,钢混结构,其他,,有,南沙湾板块、扼守狮子洋、坐拥南沙湾好看配套、环境优美植被率高、也有chao市和生鲜市场可以满足日常生活所需,出行方便、出门就有公交站、线路多、班次多。离高速路口近、去东莞、深圳、中山、都很方便。两个公交站的距离到达邮轮母港、可前往香港、日本、新加坡等、不用去机场也能出国了地铁：2.8公里到南沙客运港站（4号线起点站）公交:南沙18南沙19南沙53
东南向 安静不吵 格局方正 楼层美丽,205,15977,南沙,4室2厅2卫,128.31㎡,平层,塔楼,中楼层(共25层),暂无数据,暂无,东南,钢混结构,其他,,有,小区的西大门对着莲溪村、餐饮较多、里面有购物场所买菜方便、莲溪村里有古建筑、荷花池等观赏地、假日期间可以往里面走走,
富力天海湾南向精装修三房、望江景、采光好、近地铁。,141,14499,南沙,3室2厅1卫,97.25㎡,平层,塔楼,低楼层(共31层),暂无数据,77.46㎡,东南,钢混结构,其他,,有,医疗：南沙区妇幼保健院达康中医诊所、大参林(江南路)、同心堂大药房娱乐：黄山鲁森林公园、、南沙天后宫、南沙滨海公园、蒲州花园购物：塘坑菜市场、南沙旧镇菜市场、华盛隆购物广场、南沙旧镇,该房距离地铁约1300米。出小区往北走300米就是公交站金岭南路口站、可乘坐南19、南1B、南27、南4路夜班、南沙13路、南沙1路、南沙49路、南沙4路、南沙54路、南沙5路、番140、141路等多条公交可快速通达南沙各地及番禺等地。南面明珠湾大桥已通车
此房满五、望小区园林和湖景海景、罕有房源,188,15725,南沙,3室2厅2卫,119.56㎡,平层,板塔结合,低楼层(共32层),暂无数据,暂无,南北,钢混结构,其他,,有,南沙湾板块、扼守狮子洋、坐拥南沙湾好看配套、环境优美植被率高、也有chao市和生鲜市场可以满足日常生活所需,出行方便、出门就有公交站、线路多、班次多。离高速路口近、去东莞、深圳、中山、都很方便。两个公交站的距离到达邮轮母港、可前往香港、日本、新加坡等、不用去机场也能出国了地铁:2.8公里到南沙客运港站(4号线起点站)公交:南沙18南沙19南沙53
全新装修优质环保家具南北对流因出国急转,235,18744,南沙,3室2厅2卫,125.38㎡,平层,塔楼,低楼层(共17层),暂无数据,暂无,东南,钢混结构,精装,,有,,小区东南门设有龙光棕榈水岸公交车站、距离蕉门地铁口1公里以内。
金州城芯社区 生活便利 大三房 、中高楼层釆光好,170,15807,南沙,3室1厅1卫,107.55㎡,平层,塔楼,高楼层(共18层),暂无数据,暂无,南,钢混结构,精装,,有,小区出行300米有大型菜市场菜肉类齐全。出门坐公交可以去金州购物街、兴业购物广场、华汇广场以及美食街。1.3公里到购物广场跟风信子跨境商城店、还有星河cocopark,近金洲地铁口、小区门口公交站有到南沙各个区域金洲的下一个蕉门地铁口是南沙的公交的总站、直达白云机场、广州南站、深圳机场等各大交通枢纽站、随着政府的投入、交通便利了！虎门二桥（也称南沙大桥）
阳光城丽景湾 3室2厅 南,185,14026,南沙,3室2厅2卫,131.9㎡,平层,塔楼,低楼层(共30层),暂无数据,99.5㎡,南,钢混结构,精装,,有,,
越秀滨海珺城近地铁口大三房两卫大阳台望花园中楼层,310,24657,南沙,3室2厅2卫,125.73㎡,平层,塔楼,中楼层(共23层),暂无数据,暂无,南东,钢混结构,精装,,有,楼下就有珺城市场、钱大妈、美宜佳、小型肉菜市场、餐厅、种类齐全、800米到达南沙医院！,门口就有公交车站、可通到达南沙各地、500米到达飞沙角地铁口、5个站到达庆盛高铁站、可以到达全国各地！
户型方正实用、高层望江景、视野开阔,118,15625,南沙,3室2厅2卫,75.52㎡,平层,塔楼,高楼层(共26层),暂无数据,55.85㎡,西南,钢混结构,精装,,有,,交通配套完善、出行方便、门口就是公交车总站、目前已经开通南沙61路、南沙15路、三站可达到地铁黄阁汽车城站、三站到金州站、大型广场等
阳光城澜悦南北对流四房、户型方正、全新未住、,260,18728,南沙,4室2厅2卫,138.83㎡,平层,塔楼,高楼层(共33层),暂无数据,暂无,南,钢混结构,精装,,有,小区配套幼er园步行可达金隆学、妇女儿童医院就在家门园购物方便河对岸即是星河CoCopark商场小区旁边还有儿童公园,小区门口是环市大道西主干道、出门即可乘坐公交车、公交可玩达广场金洲地铁站
景业东湖洲豪园 3室2厅 南 北,195,20409,南沙,3室2厅2卫,95.55㎡,平层,塔楼,低楼层(共15层),暂无数据,暂无,南北,钢混结构,其他,,有,,
南沙奥园 带精装修三房 户型方正实用,183,13834,南沙,3室1厅2卫,132.29㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,东南,钢混结构,其他,,有,套设施1地铁4号线南横站A出口约450米2餐饮奥园锦绣食府十二道顺德菜潮粤海鲜城。3公园南沙滨海公园。4酒店南沙花园酒店南沙大酒店等。5门口有公交线路可直接到达出门就是10公里长的滨海栈道旁边是旧镇菜市,
广晟圣淘沙 中高南向三房、业主自住、保养新净,129.5,16730,南沙,3室2厅1卫,77.41㎡,平层,塔楼,高楼层(共17层),暂无数据,61.25㎡,南,钢混结构,精装,,有,300米到菜市场、邻近金沙广场、星河cocogarden、银行、宾馆、小区门口就是公交站、离地铁站1.5公里、出行方便,小区门口150米是金洲派出所2、200米范围内有金洲步行街、金洲菜市场、肯德基、今洲广场等上述距离来源B度地图、金洲步行街里有很多大排档、特色餐饮、品牌服装、精品店等
天玺湾 三房东南朝向 满五唯一带负一车位看房方便,190,17424,南沙,3室2厅1卫,109.05㎡,平层,板塔结合,低楼层(共18层),暂无数据,暂无,东南,钢混结构,精装,,有,小区位于南沙进港大道主干道东段、距离狮子洋入海口700米距离、小区南面就是黄山鲁4A级森林公园、北面是狮子洋一线海景、小区楼下就有华润、钱大妈等、买菜方便、门口有多路公交车站、,小区位于进港大道主干道、交通便利、小区门口有多路公交车、到购物商圈、区政府政务大厅、南沙三甲医院、南沙大型工厂例如船场、丰田汽车场都很方便
南向大三房   2题4户  星河物业,186,15500,南沙,3室2厅2卫,120㎡,平层,塔楼,低楼层(共31层),暂无数据,暂无,南,钢混结构,精装,,有,1公里内有金洲广场、肯德基市场！2公里内有医院图书馆等生活便利,小区离南沙主干道进港大道500米、离地铁口800米、离公交车站300米、出行方便
海语舒适大4房、南北对流、看房方便,358,27802,南沙,4室2厅2卫,128.77㎡,平层,板楼,中楼层(共32层),暂无数据,103.85㎡,南,钢混结构,精装,,有,,小区有一期凤凰大道有公交站、南沙20、31、5、G5、G4线停靠南门站；南沙12、53、南B1线停靠北门站、交通方便。坐公交车一站就能到达蕉门地铁站、2站能到横沥地铁站
广晟圣淘沙 中层南向三房、业主精心装修、保养新净,138,17846,南沙,3室1厅1卫,77.33㎡,平层,塔楼,低楼层(共18层),暂无数据,61.27㎡,南,钢混结构,精装,,有,300米到菜市场、邻近金沙广场、星河cocogarden、银行、宾馆、小区门口就是公交站、离地铁站1.5公里、出行方便,小区门口150米是金洲派出所2、200米范围内有金洲步行街、金洲菜市场、肯德基、今洲广场等上述距离来源B度地图、金洲步行街里有很多大排档、特色餐饮、品牌服装、精品店等
滨海悦城三房两卫、户型方正、采光好保养新带车位,194,18515,南沙,3室2厅2卫,104.78㎡,平层,塔楼,低楼层(共31层),暂无数据,暂无,东北,钢混结构,精装,,有,,
中交蓝色海湾、高楼层、一线海景,550,38031,南沙,4室2厅2卫,144.62㎡,平层,暂无数据,高楼层(共45层),暂无数据,暂无,西南东北,钢混结构,精装,,有,,近地铁4号线南沙客运港站小区门口设立18.19.53号等多路公交车站、去市区以及南沙各个地方都可以、门口客运港每天都有船往返香港、自驾去东莞深圳方便
花语阳光花园 2室1厅 南,140,16939,南沙,2室1厅1卫,82.65㎡,平层,塔楼,低楼层(共30层),暂无数据,62.84㎡,南,钢混结构,其他,,有,,
五年唯一 带100方私家平台 可种花种菜 私家活动空间,320,21869,南沙,4室2厅2卫,146.33㎡,平层,板塔结合,低楼层(共31层),暂无数据,暂无,南,钢混结构,精装,,有,南沙湾板块、扼守狮子洋、坐拥南沙湾好看配套、环境优美植被率高、也有chao市和生鲜市场可以满足日常生活所需,小区内配备公立配备南沙时代南湾分校省一级就在小区后门接小孩方便步行比较近还有就是他的小区环境舒适、49资源共
碧桂园海湾一号  东南向两房 满五唯一,130,16934,南沙,2室2厅1卫,76.77㎡,平层,塔楼,中楼层(共32层),暂无数据,61.21㎡,南,钢混结构,其他,,有,项目所在南沙湾板块、地铁、南沙客运港地铁站、南沙游艇会、南沙游轮母港、南沙大酒店,门口公交车直达南沙主要区域、高速路口步行需要仅有500米左右、珠三角主要区域无缝连接
全新中高层 视野开阔、通风采光好、总预算低,199,22112,南沙,3室2厅2卫,90㎡,平层,塔楼,高楼层(共24层),暂无数据,75㎡,东北,钢混结构,其他,,有,楼下公交车站通往横沥地铁18号线有5.5公里灵山岛江边公园、休闲、运动、观景的好去处,
时代长岛 2室1厅 北,110,12061,南沙,2室1厅1卫,91.21㎡,平层,塔楼,高楼层(共29层),暂无数据,暂无,北,钢混结构,其他,,有,,
颐德湾尚 板楼两梯两户 南北对流   四房望园林安静,450,31713,南沙,4室2厅2卫,141.9㎡,平层,暂无数据,低楼层(共30层),暂无数据,暂无,南,钢混结构,其他,,有,,
南沙保利城 2室2厅 西北,79,11802,南沙,2室2厅1卫,66.94㎡,平层,塔楼,高楼层(共28层),暂无数据,55.47㎡,西北,钢混结构,精装,,有,,
滨海新城 二期大阳台对流五房 户型方正实用 诚心放卖,243,16994,南沙,5室2厅2卫,143㎡,平层,塔楼,中楼层(共33层),暂无数据,暂无,南,钢混结构,精装,,有,小区生活配套浓郁、今州广场、华汇广场、奥园金莎广场、奥园中环广场、金洲农贸市场、南沙城商圈、蕉门公园、南沙三甲医院等。,小区门口有两个公交车站、4个站左右可以到地铁四号线金洲地铁站、可到广州市区、南沙客运港方向、多个共享单车停放点。
长岛横厅中间楼层、带车位、通风采光好、布局合理。,148,14958,南沙,3室2厅2卫,98.95㎡,平层,塔楼,中楼层(共24层),暂无数据,77.65㎡,南,钢混结构,其他,,有,小区面向黄山鲁森林公园、蝴蝶洲公园、绿化好、视野好。周末可以带老人和小孩在蝴蝶洲公园玩耍、沐浴阳光。,
南沙金茂湾 3室2厅 东南 南,300,25816,南沙,3室2厅2卫,116.21㎡,平层,塔楼,低楼层(共32层),暂无数据,暂无,东南南,钢混结构,其他,,有,,
十八号地铁 舒适三房两卫 户型好 无遮挡视野,150,15625,南沙,3室1厅2卫,96㎡,平层,塔楼,中楼层(共30层),暂无数据,暂无,南,钢混结构,精装,,,18号横沥地铁站、弯顷沙地铁站2公里中山大学附属医院2公里广东省中医院1公里,
此房户型方正、使用率高、采光通风效果好、自主精装修,180,19207,南沙,3室2厅1卫,93.72㎡,平层,塔楼,低楼层(共28层),暂无数据,76.37㎡,南,钢混结构,其他,,有,小区生活配套齐全小区西门口有钱大妈肉联邦乐鲜汇生活街市、900米左右的广州市人民医院东门近飞沙角500米左右孩子兴趣班培训机构等,小区东门500米有飞沙角地铁站、也有多趟公交车接驳向沙各个镇街、直达金洲板块；小区有滨海花园公交站、方便出行
滨海新城 横厅对流三房两卫 户型方正实用 诚心放卖,162.5,17231,南沙,3室2厅2卫,94.31㎡,平层,塔楼,高楼层(共34层),暂无数据,暂无,南北,钢混结构,精装,,有,小区生活配套浓郁、今州广场、华汇广场、奥园金莎广场、奥园中环广场、金洲农贸市场、南沙城商圈、蕉门公园、南沙三甲医院等。,小区门口有两个公交车站、4个站左右可以到地铁四号线金洲地铁站、可到广州市区、南沙客运港方向、多个共享单车停放点。
城投·首筑花园 3室2厅 南,176,16734,南沙,3室2厅2卫,105.18㎡,平层,塔楼,中楼层(共18层),暂无数据,83.32㎡,南,钢混结构,其他,,有,,
东南向、中高楼层、(越秀.滨海新城)通风视野好,175,16590,南沙,4室2厅2卫,105.49㎡,平层,塔楼,低楼层(共34层),暂无数据,暂无,东南南,钢混结构,其他,,有,,小区门口有公交车站、3公里可达到地铁四号线金洲地铁站、可到广州市区、南沙客运港方向
好楼层 好户型 好朝向 横厅四房 好喜欢,189.5,17529,南沙,4室2厅2卫,108.11㎡,平层,塔楼,中楼层(共33层),暂无数据,89㎡,南北,钢混结构,精装,,有,,
越秀滨海珺城精装三房二卫 东南向 保养好 诚意急卖,169,14738,南沙,3室1厅2卫,114.67㎡,平层,塔楼,低楼层(共28层),暂无数据,暂无,东南,钢混结构,简装,,有,小区最近的地铁是飞沙角地铁站大概1公里、小区楼下有珺城生活商品、2公里内有大型购物广场、蕉门河公园、南沙人民医院等、配套是比较成熟的！,珺城小区东门出门600米有飞沙角站、楼下西门口有滨海水晶湾站和滨海花园站接驳南沙各个地方、出行便利。
南沙境界 格局方正大三房、中高楼层 视野开阔,160,13570,南沙,4室2厅2卫,117.91㎡,平层,板塔结合,高楼层(共26层),暂无数据,暂无,南北,钢混结构,其他,,有,小区500米左右的游泳池、华润购物、有星河cocopark楼下有亲子街、娱乐、餐饮、购物、满足小区生活必须用品,小区大门大概30米左右有公交车站、有多路公交车路线、大门往右大概1.2公里左右可到达焦门地铁站、往左1.2公里左右可到达黄阁地铁站、地铁站坐公交车两站即可到达。
南沙保利城 3室2厅 东南,126,12044,南沙,3室2厅2卫,104.62㎡,平层,塔楼,低楼层(共31层),暂无数据,暂无,东南,钢混结构,其他,,有,,
中国铁建海语熙岸 3室2厅 东北,250,25838,南沙,3室2厅1卫,96.76㎡,平层,塔楼,高楼层(共43层),暂无数据,暂无,东北,钢混结构,其他,,有,,
证已满五唯一、税费低、可望海景,160,13458,南沙,3室2厅1卫,118.89㎡,平层,板塔结合,高楼层(共32层),暂无数据,94.54㎡,南,钢混结构,精装,,有,小区出门南边就是滨海栈道、网红打卡点、离菜市场也近、日常生活配套就在小区门口、有海滨公园、天后宫,有地铁四号线：南横站和塘坑站、双地铁楼盘、小区有多条公交线路经过
叠翠峰 3室2厅 北 东北,169,19909,南沙,3室2厅1卫,84.89㎡,平层,板塔结合,高楼层(共17层),暂无数据,69.49㎡,北东北,钢混结构,精装,,有,,
金茂湾三房两卫高层对流江景采光好,295,30653,南沙,3室2厅2卫,96.24㎡,平层,板塔结合,中楼层(共32层),暂无数据,暂无,东西,钢混结构,其他,,有,,
时代云图 金州地铁站 三房二卫 南北对流 安静看园林,188,19027,南沙,3室2厅2卫,98.81㎡,平层,塔楼,中楼层(共31层),暂无数据,77.67㎡,南,钢混结构,其他,,有,,
凤凰湖小高层刚需小三房、业主自住保养很好,180,20600,南沙,3室1厅1卫,87.38㎡,平层,塔楼,中楼层(共22层),暂无数据,暂无,北,钢混结构,精装,,有,小区自带悠方天地、凤凰湖、绿轴公园、区府公园等等、地段好环境好。,
名苑别墅 1室1厅 东,63,12378,南沙,1室1厅1卫,50.9㎡,平层,暂无数据,中楼层(共5层),暂无数据,暂无,东,钢混结构,其他,,,,
地铁口南向三房  高楼层  精装修 配套齐全,178,17978,南沙,3室2厅2卫,99.01㎡,平层,塔楼,高楼层(共25层),暂无数据,暂无,南,钢混结构,精装,,有,旁边就是板头菜市场、步行约100米就到、出门口便是公交站、金州地铁口旁。南沙医院、体育馆、图书馆也都在旁边,
府前一号、南向两房户型、格局方正实用,156,17208,南沙,2室2厅1卫,90.66㎡,平层,板楼,中楼层(共28层),暂无数据,暂无,南,钢混结构,其他,,有,配套齐全完善、环宇城商城就在隔壁、幼儿园就在楼下、距离三甲医院1.2公里、三大公园,
三期一线湖景、两梯四户、中楼层,288,26942,南沙,3室1厅2卫,106.9㎡,平层,塔楼,中楼层(共16层),暂无数据,暂无,东南,钢混结构,精装,,有,,距离地铁4号线蕉门站900米、公交站蕉门牌坊站700米、南沙体育馆800米、蕉门公交总站900米。生活娱乐：小区底铺有钱大妈、24小时便利店、距离忘达广场1000米、风信子购物广场1100米。医院：广州市人民医院1500米。以上数据来源于高德地图。
美的江上沄启 3室2厅 北,280,28846,南沙,3室2厅2卫,97.07㎡,平层,暂无数据,低楼层(共32层),暂无数据,暂无,北,钢混结构,其他,,,,
