广园新村精装一房通风采光产权清晰南向单位,105,22625,白云,1室1厅1卫,46.41㎡,平层,塔楼,中楼层(共7层),暂无数据,暂无,南,钢混结构,精装,,,白云广场~、五号停机坪、等公园：雕塑公园、三泰公园、白云山风景区等医院：中医学院第附属医院、广东省第二中医院白云院区、等社区医院,地铁：2号线飞翔公园站公交：186、284、479、921、124、182总站还有175、179、181、189、199、210、241、24、257、265、273、278、298、32、38、46、540、60、63、810、3
C区南向  中高层  正南向  望花园,490,44930,白云,3室2厅2卫,109.06㎡,平层,塔楼,高楼层(共11层),暂无数据,91.35㎡,南,钢混结构,其他,,有,该小区配套成熟~、生活方便。小区1号门出来是大型购物商场~、云门PARK~、云里~、云悦。小区内也有钱大妈~、出口商业街有银行等~、能够满足您日常的生活所需,小区最近的地铁站嘉禾望岗站~、广州地铁2、3、14号线交会站~、步行800米即可到达。公交车线路包括804路、805路、799路、920路、922路、924路、926路、509路、66路、803路等。自驾车可从白云大道北、白云堡立交~、经高速达华南快速干线三期永泰出口。
白云雅苑 2室1厅 东南,130,17518,白云,2室1厅1卫,74.21㎡,平层,塔楼,中楼层(共9层),暂无数据,65.76㎡,东南,钢混结构,简装,,有,,
舒适两房~、精装修~、保养好~、通风采光好,310,39431,白云,2室1厅1卫,78.62㎡,平层,塔楼,低楼层(共32层),暂无数据,64.09㎡,北,钢混结构,精装,,有,楼下公交站~、有图书馆~、小区楼下两层的各类培训机构、美发店、健身房、水果店等~、距离同和地铁和金铂广场也就1.2公里左右~、生活便利,小区距离地铁3号线同和站1.3公里~、小区楼下就有公交站~、747公交可直达地铁口~、距离华南快速同和收费站800米左右~、出行便利
金域蓝湾~、此房满五年唯一~、户型方正实用~、通风采光好,280,34757,白云,2室1厅1卫,80.56㎡,平层,塔楼,中楼层(共25层),暂无数据,暂无,西南,钢混结构,其他,,有,滨江公园308米~、白云儿童公园226米~、花城金沙汇广场541米~、工商银行~、农业银行~、邮政银行~、广州中医药大学金沙洲医院700米,地铁六号线沙贝站；公交车金沙洲大桥总站~、线路包括424、429、830、885、55、259、276、283、290路
景云居 白云山 空气清新 大两 平层电梯 双阳台精装修,220,25561,白云,2室1厅1卫,86.07㎡,平层,塔楼,高楼层(共9层),暂无数据,75.2㎡,北东南,钢混结构,精装,,有,房子距离白云山比较近~、平时去白云山爬山方便~、有柯子岭肉菜市场~、生活需求可以满足~、也有医院等配套~、配套成熟,小区门口即有公交站景云路站~、柯子岭牌坊站~、大金钟站~、地铁11号线大金钟站已经在建设~、以后出行更加方便。
乐得花园 3室1厅 西南,180,24584,白云,3室1厅1卫,73.22㎡,平层,塔楼,中楼层(共9层),暂无数据,62.27㎡,西南,钢混结构,其他,,有,,
近地铁又一居东向望花园电梯三房,272,32831,白云,3室1厅1卫,82.85㎡,平层,塔楼,中楼层(共15层),暂无数据,69.03㎡,东南,钢混结构,精装,,有,,地铁二号线（飞翔公园站）距离小区800米左右~、1年后地铁14号线二期乐嘉路开通~、离小区100米！
南向望花园~、中楼层~、视野开阔 无遮挡~、,318,32044,白云,3室2厅2卫,99.24㎡,平层,塔楼,中楼层(共18层),暂无数据,暂无,南,钢混结构,其他,,有,小区生活配套成熟~、近沙凤菜市场、江边绿化公园~、金铂天地~、国峰商场~、红星美凯龙家居~、卜蜂莲花~、苏铂~、永旺梦乐城金沙大酒店~、金阳美景酒店~、工商银行~、农业银行,西门就有公交车站~、直达6号线地铁口横沙站和沙贝站~、42路~、885路~、789路环线~、429路~、478路
云苑新村正两房~、户型方正~、业主诚意放盘~、有露台,168,29233,白云,2室1厅1卫,57.47㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,南,钢混结构,其他,,,购物越秀广源汇广场白云大型广场五号停机坪凯德云尚公园雕塑公园三泰公园还可以到白云山风景区医院中医学院第附属医院,地铁：2号线飞翔公园站公交：186、284、479、921、124、182总站还有175、179、181、189、199、210、241、24、257、265、273、278、298、32、38、46、540、60、63、810、34等公交客运站：广园客运站
万科蓝山 南向高层 视野开阔 景观好,290,26572,白云,3室2厅1卫,109.14㎡,平层,塔楼,高楼层(共18层),暂无数据,90.42㎡,南北,钢混结构,其他,,有,银行：工商银行、中国银行、建设银行、农业银行、广发银行商场：吉之岛、太阳城、沃尔玛医院：一五七医院、南方医院、三九脑科医院、黄庄菜市场酒店：七天酒店,
机场路 电梯双阳台 大三房 光线好 住着安静 生活方便,254,24939,白云,3室2厅1卫,101.85㎡,平层,板楼,中楼层(共9层),暂无数据,暂无,东,钢混结构,精装,,有,有五号停机坪、bai信广场、远景路美食街、满足购物、饮食、娱乐等需求~、有中兴医院~、民航医院,小区出口100米岗贝路东公交站~、475/741/757到三元里地铁站白云公园飞翔公园地铁站只需几个站机场北门岗贝站还有二十多量公交车往返市区另外规划中地铁十四号线岗贝站已经在动工预计2024年年底通车房主自荐(业主对房源的描述)
K区南向~、四房三卫~、高层园景~、装修保养新,600,47059,白云,4室2厅3卫,127.5㎡,平层,塔楼,高楼层(共10层),暂无数据,109.7㎡,南,钢混结构,其他,,有,该小区配套成熟~、包括有大型购物商场-云门PARK~、该商场有各类品牌餐饮店和服装店。有四大银行和足够街市~、星巴克等大型配套~、能够满足您日常的生活所需,地铁三线交汇2~、3~、14号线嘉禾站~、3号线白云大道北站公交线路：667路；126路701路804路832路833路862路864路
新兴白云花园 东向~、可参加摇号省实~、光线好,78,17462,白云,1室1厅1卫,44.67㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,东北,钢混结构,简装,,,小区里面有公立的幼儿园~、还可参加摇号省实~、还有菜市场~、出门是解放庄~、各种小吃都有。步行800米就到了大型的综合体:安华汇~、里面有购物广场~、电影院~、美食城等。,双地铁：3号线地铁白云大道北站和2号线地铁黄边站~、公交总站就是以小区为名(新兴白云花园总站)223路/831路/268路/高峰61路。
地铁口近 出行方便 装修保养好  采光通风好,268,30455,白云,3室1厅1卫,88㎡,平层,塔楼,低楼层(共11层),暂无数据,74.17㎡,西,钢混结构,简装,,有,配套设施：金碧新城生活配套：有月亮弯游泳池、罗马音乐喷泉、环型跑道、蓝球场、网球场、会所、市场、银行、好又多啃德基、国美电器、便利店、麦当劳、美宜家、7-11便利店、石井广场、医疗门诊等,交通出行：金碧新城公交路线金碧新城总站:763地铁8号线小坪站小坪南站:259~、539途经石井站线路126~、254~、280~、291~、B425~、519~、524~、556~、563~、830~、831~、841乡村巴士1乡村巴士2夜26
同德花园三期 电梯双阳台2房 方正实用,168,22138,白云,2室1厅1卫,75.89㎡,平层,塔楼,中楼层(共9层),暂无数据,69.24㎡,西,钢混结构,其他,,,商城有新都汇购物广场、骐利广场、凯升广场、骏荣广场等~、距离同德围商圈2KG里的悦汇城建面达28000平方米~、属于广州西部前一、广州第二大的单体购物商城。公园有同德公园、聚龙公园、石井河绿道等可供居民日常健身休闲的地方。,距离地铁8号线上步站500米左右公交：752、夜80、134、175、176、17、17短线、196、212、215、215长线、228、238、241、524、527、539、543、545、62、832、975、高峰快线26、高峰快线27、高峰快线29、高峰快线2、高峰快线3、高峰快线51。
白天鹅花园 2室1厅 西北,285,34710,白云,2室1厅1卫,82.11㎡,平层,塔楼,中楼层(共15层),暂无数据,暂无,西北,钢混结构,其他,,有,,
机场路品质花园小区  南向精装修2居室  安静明亮舒适,270,34247,白云,2室1厅1卫,78.84㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,南,钢混结构,其他,,有,楼下有好又多~、综合肉菜农贸市场~、远景路也称韩国街热闹繁华~、子曰礼茶楼、火锅烤肉等各类饮食美食街等等~、生活氛围好,
阳光花园低层2房 大型小区 交通方便,90,16164,白云,2室1厅1卫,55.68㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,南,钢混结构,其他,,,商场：荔华苑C市、骏荣广场医院：区第二人民医院、德福门诊、广州市白云区石井医院槎头门诊部银行：工商银行、兴业银行、农业银行娱乐：雅涛桑拿、老地方、德福中医养元推拿、槎龙公园,公交站：槎头石潭路~、途径线路：17路212路228路238路291A291B521路524路563路614路705路(原237路)830路839路夜21路夜2路夜3路~、离8号北延段聚龙站大约800米
电梯平层高层~、多6方房子实用面积有85方大三房有阳台,220,27747,白云,3室2厅1卫,79.29㎡,平层,塔楼,中楼层(共9层),暂无数据,72.39㎡,南,钢混结构,简装,,有,有菜市场沃尔玛商场晚达广场柯子岭菜市场云苑市场白云市场步行街车站地铁二号线飞翔公园,小区距离盈翠华庭公交站约100米~、公交路线有76、76A、34、36、38、265、544、547、大学城1号线等多路公交地铁2号线~、距离12号线小金钟只有700米
紫竹苑 电梯楼 带阳台 小区管理  近地铁,133,21335,白云,2室1厅1卫,62.34㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,东南,钢混结构,其他,,有,：商场：新都汇购物广场、骐利广场、凯升广场、骏荣广场等~、距离同德围商圈1公里的悦汇城~、悦汇城于今年9月开业~、属于广州西部前一、广州第二大的单体购物商城。公园：同德公园、聚龙公园、石井河绿道等可供居民日常健身休闲的地方,地铁8号线聚龙站。公交：752、夜80、134、175、176、17、17短线、196、212、215、215长线、228、238、241、524、527、539、543、545、62、832、975、高峰快线26、高峰快线27、高峰快线29、高峰快线2、高峰快线3、高峰快线51、夜15、夜21、夜2、夜76
标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
此房是满五年唯一的房子 ~、税费比较少~、通风采光很好,238,42953,白云,2室1厅1卫,55.41㎡,平层,平房,中楼层(共13层),暂无数据,48.73㎡,西北,钢混结构,其他,,有,商场：好又多、广**货、摩登*货、佳润广场、吉之岛太阳城广场乐购邮局：梅花园邮局、同和邮局、南方医院邮政营业厅银行：工商银行、建设银行、农业银行、中国银行、农商银行、广发银行医院：一五七医院、南方医院、三九脑科医院、同和医院、白云山医院,
三元里大道 机安宿舍 方正两房 南北对流,105,17063,白云,2室1厅1卫,61.54㎡,平层,暂无数据,高楼层(共6层),暂无数据,暂无,南,钢混结构,其他,,,,小区门口为白云区主干道~、出门就有公交车站~、可通达广州全城小区！距离现有地铁8号线聚龙站1公里左右、2号线地铁站站2公里左右~、距离在建14号线二期岗贝站800米左右房主自荐(业主对房源的描述)
云山诗意 3房2卫带工人房 东南向看小区园林,425,34539,白云,3室2厅2卫,123.05㎡,平层,塔楼,低楼层(共18层),暂无数据,100.5㎡,东南,钢混结构,简装,,有,,距离地铁2号线黄边站300米~、东门距离地铁3号线白云大道北站1000米~、还有多路公交车743~、38~、798等途经小区大门直到市区各地~、交通便利
金域蓝湾~、精装修~、户型方正实用~、高层东北向望江,500,37879,白云,4室2厅2卫,132㎡,平层,塔楼,高楼层(共19层),暂无数据,暂无,东北,钢混结构,其他,,有,滨江公园308米~、白云儿童公园226米~、花城金沙汇广场541米~、工商银行~、农业银行~、邮政银行~、广州中医药大学金沙洲医院700米,地铁六号线沙贝站；公交车金沙洲大桥总站~、线路包括424、429、830、885、55、259、276、283、290路
南湖半岛花园 精装修大2房 拎包入住,300,33120,白云,2室2厅1卫,90.58㎡,平层,塔楼,低楼层(共12层),暂无数据,75.94㎡,东,钢混结构,精装,,有,,小区门口也有公交车站~、途径车辆有B6、232、296、502、504、B6快、560、862B等。自驾：门口可接驳华南快速干线同和站~、交通便利！小区门口有士多店~、宵夜店~、快餐店~、能满足基本生活需求
东南向~、视野开阔~、通风采光好~、60平方大平台！,250,25013,白云,2室2厅1卫,99.95㎡,平层,板楼,低楼层(共16层),暂无数据,暂无,东南,钢混结构,其他,,有,商场有：马务广场、尚佳广场、马务农贸肉菜市场、距离金国广场卜蜂莲花步行街200米~、白云汇广场1000米。、马务幼儿园。银行：邮局、工商银行、农商银行、建设银行等。,黄石路口站车251.254.268.274.280.291.291.298.32.510.511.519.523.528.555.556.58.803.807.810.832.840.886.高峰快线5夜12夜22夜26夜35
岭南雅院 楼龄新 原装电梯 小区环境好 安静不吵,310,31920,白云,3室2厅1卫,97.12㎡,平层,塔楼,低楼层(共9层),暂无数据,84.32㎡,南,钢混结构,其他,,有,,
春兰花园 电梯一房 南向采光通风好,175,35057,白云,1室1厅1卫,49.92㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东南,钢混结构,其他,,有,,地铁：京溪南方医院地铁站~、距离大概100米；公交：83路~、126路~、136路~、241路~、502路~、高峰快线48~、夜14路~、夜74路~、旅游公交3线~、16路~、夜90路等经过京溪路站
广州富力城~、湖景观房~、视野开阔,320,28140,白云,3室2厅1卫,113.72㎡,平层,塔楼,高楼层(共18层),暂无数据,暂无,东,钢混结构,精装,,有,广州富力城商城：大型商场~、ATM:中国邮政储蓄银行~、建设银行~、交通银行~、广州农商银行内部配套：足球场~、篮球场~、网球场~、游乐场~、风情街~、会所~、洗衣店~、户外露天游泳池~、幼儿园,公交：511路、523路、539路、834路、840路、21路、127路、978路~、地铁：2号线嘉禾望岗站、3号线嘉禾望岗站
白云山中药厂宿舍视野宽阔方正两房,128,21019,白云,2室1厅1卫,60.9㎡,平层,塔楼,高楼层(共7层),暂无数据,暂无,东南南,钢混结构,其他,,,有南方医院~、白云农批市场~、天健广场~、友新~、三九脑科医院~、工商银行、中国银行、建设银行、农业银行、广发银行银行等生活便利,门口就是747.241公交站~、斜对就是金湖雅苑公交总站~、公交；241路~、高峰快线17~、226~、72路~、201路~、808路~、884路~、246路等~、有公交和便民车直达地铁站
通风采光好~、安静舒适~、配套齐全~、看房方便业主诚心卖,299,31942,白云,3室2厅2卫,93.61㎡,平层,塔楼,低楼层(共19层),暂无数据,暂无,西北,钢混结构,其他,,有,滨江公园308米~、白云儿童公园226米~、花城金沙汇广场541米~、工商银行~、农业银行~、邮政银行~、广州中医药大学金沙洲医院700肯德基~、幼儿园~、菜市场等,广州地铁六号线沙贝站和横沙站~、浔峰港12号线公交车金沙洲大桥总站~、线路包括424、429、830、885、55、259、276、283、290路
同和地铁口 富和花园 电梯三房 小区环境好 业主诚心卖,310,34376,白云,3室2厅1卫,90.18㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,南北,钢混结构,其他,,有,购物有金铂天地~、雄洲城~、新天地~、嘉裕太阳城等大型商场~、医疗有南方医院~、一五七医院~、白云山医院等三甲医院~、楼下便利店8家~、平常生活所需小区内就能搞定,近地铁~、3号线同和站~、300米到c出口~、小区外100米有公交站点~、乘车方便。公交：16路、B6路、B6路快线、56路、179路、241路、504路、502路、804路、136路、219路、862路、862B路、832路、126路、136路、836路、83路、701路、560路、公交站旁边有共享单车~、
阳光明媚园中层两房 满二免重税 看房方便,148,19824,白云,2室1厅1卫,74.66㎡,平层,塔楼,中楼层(共33层),暂无数据,暂无,北,钢混结构,其他,,有,悦和方大型商场~、有地铁、公交站~、有菜市场~、便利店~、美容院~、水果店~、理发店~、游泳池~、餐饮~、医院等配套教：小区自带y儿园业主称赞有加。龙归小龙归中~、近在咫尺,地铁14号线夏良站~、距其直线距离100米.地铁3号线延长线龙归站公交：龙归永兴村总站交通线路图~、途经线路包括途656路、652、529路、563路、701路、833路、837路。
深业金翠湾 3室2厅 东南 南,270,28611,白云,3室2厅1卫,94.37㎡,平层,塔楼,中楼层(共26层),暂无数据,暂无,东南南,钢混结构,其他,,有,,
华发四季  1栋大平层   南北大阳台,1100,52496,白云,4室2厅3卫,209.54㎡,平层,板塔结合,低楼层(共43层),暂无数据,164.67㎡,南,钢混结构,其他,,有,该小区配套成熟~、生活方便。小区北门出来是大型购物商场-云门PARK~、该商场内有河马鲜生、东海酒家、美亚影院、各类品牌餐饮店和服装店。东门出来是双城荟步行街~、这条街有四大银行、全家七天、华润和星巴克等大型配套~、能够满足您日常的生活,地铁2号、3号、14号线交汇于嘉禾望岗站~、公交线路包括804路、886路、805路、799路、920路、922路、924路、926路、509路、66路、803路等数十几条公交路线；自驾车可从白云大道北、高速达华南快线干线三期永泰出口
泽德花园  近地铁 低楼层 带阳台  大型小区,100,18259,白云,2室1厅1卫,54.77㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东南,钢混结构,简装,,,泽德花园配套：中国银行~、工商银行~、白云区中医院~、酒楼~、骏荣广场食街~、同德上步广场~、家私城~、菜市场、富康市场~、天记酒楼~、新景酒家~、215总站~、富康羽毛球场~、富贵旅馆~、泽德幼儿园~、横窖菜市场~、泽德中医院~、广州市中医医院（同德分院）~、广州白云站,公交：215路、17路、545路、832路、527路、524路、238路、175路、176路、196路、228路、539路、212路、241路等地铁：地铁八号线北延段聚龙站~、上步站
机场路 新市 汇侨新城北区 电梯两房 大型小区配套完善,109,17505,白云,2室1厅1卫,62.27㎡,平层,塔楼,低楼层(共17层),暂无数据,暂无,西,钢混结构,简装,,有,汇侨新城东区菜市场、大埔菜市场；医院：汇侨壹心诊所、新市医院、白云区人民医院；公园：白云儿童公园；商业：大型商城、家乐福、沃尔玛、永辉~、苏宁国美等,汇侨车站公交车244A路807A路538路278路~、新市墟公车298路886路556路58路21路539路810路555路108路等等
政通路(白云) 3室1厅 南,368,41026,白云,3室1厅1卫,89.7㎡,平层,塔楼,低楼层(共10层),暂无数据,暂无,南,钢混结构,其他,,有,,
半岛高舒适度两房 采光好无遮挡近地铁 望花园不吵,190,29540,白云,2室1厅1卫,64.32㎡,平层,塔楼,低楼层(共22层),暂无数据,51.77㎡,西南,钢混结构,其他,,有,内设商场~、邮局~、银行(建设银行、工商银行、邮政储蓄等)；门口有省中医院附属门诊~、有松洲菜肉市场~、购物买菜方便；有肯德基、美容院等；小区A区一楼为铺位~、内有许多饭馆等。,6号线沙贝站、5号线西场站~、13号线二期已在建距离100米（2024开通）公交:114、198、290等二十条线路
百荣园 中层两房 格局方正 业主急卖,145,18655,白云,2室1厅1卫,77.73㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,北,钢混结构,其他,,,小区门口就有公交车站恒沙龙棠溪菜市场高田街菜市场bai信广场广baibai货凯德广场5号停机坪棠溪市场,出行方便~、小区门口就有公交车站~、途径线路有251路254路268路280路298路32路511路522路58A路58路757路807A路等多条公交车路线直达市区~、地铁站14号线二期岗贝站就在小区门口~、目前已经在动工~、预计2026年通车
小区管理 电梯高层无遮挡 户型方正,195,27473,白云,2室1厅1卫,70.98㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,北,钢混结构,其他,,有,广园新村好又多美食：悠悠乐美食~、聚友源~、湘村馆。(省一级)银行：银柜KTV~、咏乐会ktv。健身房,盈翠华庭公交站：127/245/36/841/265等各大公交线路。地铁二号线飞翔公园~、即将开通的12号线景云路站。。。。
白云山制药厂后山宿舍 2室1厅 南,140,27085,白云,2室1厅1卫,51.69㎡,平层,塔楼,高楼层(共6层),暂无数据,46.71㎡,南,钢混结构,简装,,,,
家和东湖映月 4室2厅 南,330,25659,白云,4室2厅2卫,128.61㎡,平层,塔楼,中楼层(共29层),暂无数据,101.15㎡,南,钢混结构,其他,,有,,
白云山山脚下 安静舒适小区 少有的一梯2户 南向房源,248,36719,白云,2室1厅1卫,67.54㎡,平层,板楼,中楼层(共6层),暂无数据,暂无,南,钢混结构,其他,,,有五号停机坪~、凯德广场~、还有儿童公园~、体育馆~、小区有菜市场~、交通银行~、公交车站~、交通跟生活都便利,金信路总站~、广州体育馆站~、金信路口站~、途径路线544路、841路、265路、34路、66路等地铁：2号线白云公园站500米~、12号线小金钟地铁~、距离地铁站300米左右
岭南新世界C区~、实用三房 望园林 安静舒适,410,38343,白云,3室2厅2卫,106.93㎡,平层,板楼,低楼层(共18层),暂无数据,89.43㎡,北,钢混结构,其他,,有,生活市场、711便利店、全家便利店~、美容院、美发店、面包店；会所(羽毛球场、乒乓球场、大型足交通球场地、篮球场地)等生活配套设施完善！还有新世界云门商场~、商场内有电影院~、东海酒家~、太二~、盒马生鲜~、星巴克~、麦当劳~、阿迪达斯~、优衣库等。,公交车总站~、线路包括804路、886路、799路、920路、922路、924路、926路、509路、66路、803路等数十几条公交路线；地铁线路：14号地铁线~、2号地铁线~、3号地铁线~、嘉禾望岗站
锦云峰中高层大两房！业主诚意出手,308,35241,白云,2室2厅1卫,87.4㎡,平层,塔楼,中楼层(共30层),暂无数据,暂无,东北,钢混结构,精装,,有,,
电梯高层东南向~、视野开阔望白云山~、通风采光好！,420,41601,白云,4室2厅2卫,100.96㎡,平层,板塔结合,中楼层(共27层),暂无数据,暂无,南北,钢混结构,其他,,有,公园：马务公园~、商场：白云汇广场~、金国广场~、黄石家私广场~、海航城~、医院：马务卫生站~、交通：公交黄石路总站~、14号地铁延长线马务站24年年底开通,
电梯一房~、小区管理安静舒适~、...,79,21969,白云,1室1厅1卫,35.96㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,南西南,钢混结构,简装,,有,买菜走3min到柯子岭农贸市场~、云龙路有钱大妈、水果店、庆隆chao市、沙县小吃、兰州拉面、理发店,12号地铁在建中~、小金钟站~、浔峰岗站到大学城南~、25个车站~、其中16个车站可以换乘~、4个站直达越秀淘金
小区中 心位置花园60方南北通透业主诚意出手,378,21664,白云,4室2厅2卫,174.49㎡,平层,塔楼,低楼层(共18层),暂无数据,144.57㎡,南北,钢混结构,精装,,有,小区门口有B6公交车站~、可直达同和金铂广场、南方医院、天河区,
丝绸大厦 有电梯 户型方正 空间大 全明屋,190,23308,白云,2室1厅1卫,81.52㎡,平层,塔楼,中楼层(共9层),暂无数据,68.69㎡,南,钢混结构,其他,,有,商场：同德里祺利广场新都汇广场骏盈广场凯升国际广场医院：白云区同德医院丰国医药邮局：同德围邮局银行：中国银行建设银行工商银行农业银行农村信用合作社邮政储蓄其他：羽毛球馆~、同德公园,此房南北对流~、电梯中楼层~、采光好~、户型布局合理~、是配套成熟的小区
标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
泽德装修新两房~、楼顶已搭棚 ~、有电梯位置~、近地铁,98,16334,白云,2室1厅1卫,60㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东北,钢混结构,其他,,,商城有新都汇购物广场、骐利广场、凯升广场、骏荣广场等~、距离同德围商圈1公里的悦汇城~、悦汇城于今年9月开业~、建面达280000㎡~、属于广州西部前一、广州第二大的单体购物商城。公园有同德公园、聚龙公园、石井河绿道等可供居民日常健身休闲的地方,地铁8号线上步站/聚龙站公交：752、夜80、134、175、176、17、17短线、196、212、215、215长线、228、238、241、524、527、539、543、545、62、832、975、高峰快线26、高峰快线27、高峰快线29、高峰快线2、高峰快线3、高峰快线51、夜15、夜21、夜2、
汇侨新城北区 3室1厅 东,232,19944,白云,3室1厅1卫,116.33㎡,平层,塔楼,中楼层(共17层),暂无数据,95.32㎡,东,钢混结构,简装,,有,,
