标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
锦明街 2016年楼、安静、北向3房、户型方正、采光好。,400,41297,天河,3室1厅1卫,96.86㎡,平层,塔楼,低楼层(共9层),暂无数据,87.82㎡,北,钢混结构,其他,,有,生活配套有天河公园、中国银行、光大银行、工商银行、农业银行、建设银行、员村肉菜市场、沃尔玛、麦当劳、天河中医院、中山大学附属第六院、南方医科大学附属第三医院。,公交：小区步行100米即达员村四横路口公交站、有B11、40、44、239、243、541、547、548、550、506、506A、901A等多条公交路线；地铁：距离天河公园地铁500米、5号线员村站1000米、科韵路站800米；自驾：向西1.7公里到达华南快速干线
树木公园实用三房、一梯两户、通风采光好、养生好地方.,252,33826,天河,3室2厅1卫,74.5㎡,平层,暂无数据,中楼层(共5层),暂无数据,暂无,东南,混合结构,其他,,,园林就在家门口、还有森林公园、植物园、火炉山公园等、空气质量优质；龙洞人民医院、武警三甲医院等；商场：有海悦城、华润等；菜市场有龙洞步行街大型农贸市场。,小区门口近广河高速、华南快速、地铁龙洞站、门口还有公交车站、广州各个区都可以到达、门口出来是广汕路去黄埔市区都方便。
云宁居 3室1厅 南,295,35945,天河,3室1厅1卫,82.07㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,南,钢混结构,其他,,有,,
天鹅花苑 两房 户型实用 诚心出,155,29987,天河,2室1厅1卫,51.69㎡,平层,塔楼,中楼层(共6层),暂无数据,暂无,西南,钢混结构,其他,,,银行：广州农商、中国建设、中国邮政、中国工商等公园：长湴公园、天河公园、火炉山森林公园等医院：长兴人民医院、武警医院、广东三九脑科医院等商场：优托邦就在小区西门、KTV、电影院、大型市等；长湴综合市场就在小区东门,北到龙洞、南到五山、东到岑村、西到沙太。东门有长湴综合市场、中科院化学所、中科院植物所、有色院等。南门有伟伦体校、伟伦体校公交站。东南门有农行、邮政、长兴里商场等。三公里内有华农、华工、长湴公园、优托邦、天河客运站
铂林国际公寓 1室1厅 北,170,52373,天河,1室1厅0卫,32.46㎡,平层,塔楼,低楼层(共32层),暂无数据,暂无,北,钢混结构,其他,,有,,
南国嘉园 3室1厅 东北,270,37527,天河,3室1厅1卫,71.95㎡,平层,塔楼,中楼层(共24层),暂无数据,暂无,东北,钢混结构,简装,,有,,
中海璟晖华庭 东南向 三房 采光好,1700,126254,天河,3室2厅2卫,134.65㎡,平层,塔楼,中楼层(共31层),暂无数据,111.43㎡,南东南,钢混结构,其他,,有,具有成熟的交通、购物、医疗配套齐全、交通出行便利、广州塔、兴盛路风情街、生活便利、小区三楼就是肉菜市场、有四大银行和三甲医院华侨医院和广州市妇女儿童医院。,
珠江新城 南国花园 南向看江 看小区花园 视野开阔,1380,126780,天河,3室2厅1卫,108.85㎡,平层,塔楼,高楼层(共25层),暂无数据,92.98㎡,南,钢混结构,其他,,有,小区北边有珠江公园、南边就是临江带状公园、生活散步的好去处。小区楼下生活购物完全能满足、半径500米内各大银行网点一应俱全。广粤天地和太阳城广场、完全可以满足日常的吃喝需求,地铁口的物业、出门地铁5号线潭村A出口。珠江新城公交车总站也近在咫尺、出行便利
少有放盘 西南向 景观视野好 户型方正 安静环境好,489,57027,天河,2室2厅1卫,85.75㎡,平层,塔楼,低楼层(共29层),暂无数据,68.64㎡,西南,钢混结构,精装,,有,成熟生活配套、双公交总站、各大银行、大型餐饮及肉类市场、华润家和B佳C市、便利店、水果店、花店进口美食店、健身会所、天河公园、华景软件园、广州信息港等、小区有大型的地下停车场、上下班方便。,小区北面500米就是华景新城的公交总站、线路有293.194.B9、130.191.距离小区南面900米就是上社BRT、有经20多条公交车线路经过、可去到广州的各个地方、可坐191.或者130.只需要3站即可到达地铁三号线华师站
星汇雅苑 三阳台户型 采光好 带平台 空间大 实用率大,655,89555,天河,2室1厅1卫,73.14㎡,平层,塔楼,低楼层(共18层),暂无数据,55.9㎡,南,钢混结构,精装,,有,往南600米是潭村地铁站、往北700米还有13号线马场站和白马岗站预计2023年底开通、往西2公里处是珠江公园、楼下50米就是商场、生活便利。,地铁：地铁5号线潭村站。小区门口在建地铁13号线2期马场站22年底开通。公交车：华侨医院站、途经线路：137、140、227、23、243、245、261、278、284、292、299、43、513、517、518、53、540、541、542、548、550、562、882
第四期2018年新收楼  东南向单边位采光佳,798,70000,天河,3室1厅2卫,114㎡,平层,塔楼,高楼层(共17层),暂无数据,暂无,东南,钢混结构,其他,,有,有华南植物园、火炉山以及森林公园等、空气质量好、景观视野开阔、空气好、喜欢运动、养生的朋友、值得一看,公交车：植物园站、世纪绿洲站、途径线包括28路、30路、83路、84路、345路、346路、494路、534路、535路、564路、564路、775路、B12路。地铁：植物园地铁G出口距离小区100米
石牌桥丰兴广场封闭式花园小区  南北双阳台两房采光好,558,66755,天河,3室2厅1卫,83.59㎡,平层,塔楼,高楼层(共32层),暂无数据,暂无,南北,钢混结构,其他,,有,交通：三号线石牌桥B出口、石牌桥BRT;购物：太古汇、正佳；市场：体育东菜市场、大概500米；医院：天河南社区医院、中山大学附属第三医院；公园运动场所：天河体育馆、珠江公园、花城广场,
美林湖畔花园 3房2卫 南向 满五年 精装修,698,68533,天河,3室2厅2卫,101.85㎡,平层,塔楼,中楼层(共11层),暂无数据,暂无,南,钢混结构,其他,,有,建设银行、民生银行、钱大妈、石溪肉菜市场、工商银行、山姆会员店、美林天地、三溪地铁站；,
珠城旁 电梯南向中楼层两房 通风采光好 小区中间安静,299,37497,天河,2室2厅1卫,79.74㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,南东南,钢混结构,其他,,有,医院：中山大学附属第三医院、华侨医院。银行：建设银行、中国银行、华夏银行。商场：太古汇、太阳新天地马会家居,门口是黄埔大道西路石牌村公交车站：882、562、518、299等几十条公交线地铁站三号线（岗顶站C出口）（岗顶站）地铁13号线（石牌南站）、十三号线二期在建交通便利
翰林苑 6楼东北向三房 安静舒适 采光充足 自住保养,350,42317,天河,3室1厅1卫,82.71㎡,平层,塔楼,低楼层(共18层),暂无数据,68.97㎡,东北,钢混结构,其他,,有,小区楼下有华润市场、美宜佳、钱大妈等各种生鲜市场。有银行、校园、医院等衣食住行很方便。,去华南农业大学1.1公里、去天河客运站1.8公里、去旁边长湴公园600米公交站581、498、722、20、218、775等多趟公交去到天河客运站和五山等繁华地方
中楼层精装两房 厅大房大 拎包即住 近地铁,180,28667,天河,2室1厅1卫,62.79㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,东,钢混结构,精装,,,,棠下小区：B14、B8、B21、304、518、562、813。棠德路：304、408A、496、813、547、503、506、B14。棠德小区北：210、214、408A、408、40、508、60、764、772、813、B18、B19、B23、广增3线、广增5线、高峰快线24路、高峰快线28路。棠东地铁站：21号线
金兴花园、满五年、精致三房、安静不吵；诚心放卖,572,53654,天河,3室2厅1卫,106.61㎡,平层,塔楼,中楼层(共9层),暂无数据,94.79㎡,北,钢混结构,其他,,有,家乐福商场、华润商场、中山附属第六医院和华侨医院、到达5号线地铁员村站、21号线天河公园站、工商银行和农商银行、员村农贸市场,地铁：21号线天河公园站、公交：135路、177路、20路、218路、224路、235路、240路、269路、272路、194路、239路、293路
金兴花园 1室1厅 西,188,40344,天河,1室1厅1卫,46.6㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,西,钢混结构,简装,,,,
尚河居 2室1厅 北,420,60782,天河,2室1厅1卫,69.1㎡,平层,塔楼,中楼层(共24层),暂无数据,暂无,北,钢混结构,简装,,有,,
燕塘 正规一方一厅 厅出阳台 电梯 楼龄新,115,23904,天河,1室1厅1卫,48.11㎡,平层,塔楼,低楼层(共15层),暂无数据,暂无,东南,钢混结构,简装,,有,医院：武警医院、广东燕岭医院、广东整形美容医院银行：工商银行、农业银行、中国银行、农业银行商场：金燕商场、嘉福货仓商场,交通：公交门口有武警医院一站台二站台、有夜10路、135路、235路、236路、252路、257路、290路、297路、303路、503路、534路、535路、637路地铁是3号线和六号线换乘站燕塘站
南北对流小三房、户型方正、视野开阔,218,32083,天河,3室1厅1卫,67.95㎡,平层,塔楼,高楼层(共28层),暂无数据,暂无,南,钢混结构,简装,,有,配套齐全、商场、市场、医院都有、生活的便利、适合长远计划、自住,
：棠东地铁口  两房一厅 精装 业主诚意出,140,25960,天河,2室1厅1卫,53.93㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东西,钢混结构,其他,,有,电影院：哈艺、龙影。公园：同心公园、天河公园。市场：棠德综合市场、东南新街市。银行：工商、邮政、建设、农业、中国银行。商场：沃尔玛、卜蜂莲花、天河城、优托邦、乐易购、正大优选。医院：社区门诊部、家家乐医院、南方医科大学第三附属医,棠下小区：B14、B8、B21、304、518、562、813。棠德路：304、408A、496、813、547、503、506、B14。棠德小区北：210、214、408A、408、40、508、60、764、772、813、B18、B19、B23、广增3线、广增5线、高峰快线24路、高峰快线28路。棠东地铁站：21号线
满五唯一省税 交通便利生活配套购物样样俱全,290,30012,天河,3室2厅1卫,96.63㎡,平层,塔楼,低楼层(共23层),暂无数据,暂无,北,钢混结构,简装,,有,天河广场位于中山大道与东圃大马路交汇处、北侧2000米（来源于高德地图）有奥林匹克体育公园等大型景区与生态公园、交通四通八达、生活便利。尤其是东圃大马路的人气旺、政府单位及医院、酒店、写字楼汇聚于此。,交通方便距离公交车站20米来自高德地图有十几条公交车线路经过公交：515路、227路、883路、139路、503路、50路、560路、561路B2路、404路地铁：4号线车陂站、5号线东圃站距离地铁口4号线车陂站976米来源于高德地图、
金融城 电梯大两房 精装修 满五唯一 交通便利 位置好,198,27896,天河,2室1厅1卫,70.98㎡,平层,塔楼,低楼层(共29层),暂无数据,暂无,北,钢混结构,精装,,有,沃尔玛、华润家、卜蜂莲花购物、惠家电影院：哈艺、龙影医院：棠德社区医疗门诊部、家家乐医院、便利店、中国工商银行、中国邮政储蓄银行等,小区有两个公交总站、地铁21号线-棠东站、自驾、科韵路、广园快速、车陂南路隧道、出行便利。
杨箕 富力新天地旁 三居室 格局通透,500,56819,天河,3室1厅1卫,88㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,南,钢混结构,简装,,,1公里左右可达天河购物城、维多利亚广场、广州购书店、正佳广场、天河城、动物园、医院：广州愈生中医院、解放军南部军区门诊部、中山医院银行：中国建设银行、招商银行、邮政银行、工商银行等其他：全家、麦当劳、肯德基、7-11便利店,地铁：5号线动物园、杨箕、1号线、3号线体育西路、公交线路广州大道中站：51、122、130、183、252、836、263、路等
建丽花园 3室2厅 南,480,36980,天河,3室2厅2卫,129.8㎡,平层,塔楼,高楼层(共11层),暂无数据,113.84㎡,南,钢混结构,其他,,有,,
凯旋新世界广粤尊府 3室2厅 西南,3800,221252,天河,3室2厅2卫,171.75㎡,平层,塔楼,低楼层(共16层),暂无数据,暂无,西南,钢混结构,精装,,有,,
厅出阳台大两房 高层无遮挡 景观视野好,435,51792,天河,2室1厅1卫,83.99㎡,平层,板塔结合,高楼层(共23层),暂无数据,暂无,北,钢混结构,简装,,有,菜市场：国六宝菜市场商场：金田广场七鲜；医院：芳草园社区医院、广州博爱医院、中山三院；银行：中国银行、建设银行、工商银行、邮政储蓄、光大银行、广发银行、农业银行、招商银行,
珠江花城一期高层南向3+1房、装修保养采光好,468,52256,天河,3室2厅2卫,89.56㎡,平层,塔楼,高楼层(共26层),暂无数据,70.75㎡,西南,钢混结构,其他,,有,项目生态规划优越、享受5+1公园体系：奥林匹克体育公园、影视文化休闲公园、大观、天河儿童公园、岐山公园+100000平方米珠江四季花园园林绿地,规划19号线姬堂站坐落项目内、直达珠江新城、海珠、荔湾等重要区域。社区公交车总站接驳主干线广园快速路、直达珠江新城、天河北、琶洲等商务区；社区内建4500㎡大型私享公交总站、为版块内的社区旗舰型交通配套
天河公园 东成花苑 南北对流 精装修,470,51099,天河,2室1厅2卫,91.98㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,南,钢混结构,其他,,有,,小区门口就有公交车站、离地铁13-21-11号线300米左右。
汇友苑 东南向 安静宜居 满五年唯一,310,42063,天河,2室2厅1卫,73.7㎡,平层,塔楼,低楼层(共19层),暂无数据,暂无,东南东,钢混结构,其他,,有,医院有天河区人民医院、小区50米就是东圃菜市场、楼下就是BRT公交站,
近燕塘地铁、有三甲医院、燕东大厦原装电梯高层两房,228,31466,天河,2室1厅1卫,72.46㎡,平层,塔楼,高楼层(共15层),暂无数据,59.6㎡,西北,钢混结构,其他,,有,,公交门口有武警医院一站台二站台、有夜10路、135路、235路、236路、252路、257路、290路、297路、303路、503路、534路、535路、637路地铁是3号线和六号线换乘站燕塘站
珠城暨大旁 封闭小区 带独立平台 单边房 电梯平层南向,430,47965,天河,3室2厅1卫,89.65㎡,平层,塔楼,高楼层(共8层),暂无数据,暂无,南,钢混结构,其他,,有,医院：华侨医院、中山三院、中山六院、邮电医院邮局：陶育路邮局、中山大道西邮局、员村西街邮局银行：工商银行、农村信用社其他：石牌肉菜街市、钱大妈、小区内部配套：停车场,近岗顶地铁站、岗顶BRT、中山大道、黄埔大道、华南快速、可以快速的到达高铁站、动车站、机场
暨大旁电梯一房一厅、证满五唯一、户型方正实用,168,35921,天河,1室1厅1卫,46.77㎡,平层,塔楼,高楼层(共31层),暂无数据,暂无,西,钢混结构,精装,,有,公园珠江公园商场太阳城广场家乐福医院华侨医院中山三院中山六院邮电医院大学暨南大xue邮局陶育路邮局中山大道西邮局员村西街邮局银行工商银行华夏银行中国银行长沙银行民生银行,
金融城精装修南向两房 采光通风良好,210,34009,天河,2室1厅1卫,61.75㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,南,钢混结构,精装,,,商场：好又多、礼加诚龙盛购物电影院：哈艺影城、龙影影城医院：天河棠德社区医疗门诊部、广州家家乐医院邮局：中国邮政天朗明居储蓄所银行：广州市农商银行、中国工商银行、中国邮政、便利店公园：天河公园。,自驾棠德南路连接科韵路和车陂路可以从科韵路上广园快速也可以从车陂路上环城高速公交棠下小区总站小区东站公交BRT可直达广州各区地铁现有棠东站地铁站距离约500m
中间位置 电梯两房 天台可独立使用 平层入户,450,61217,天河,2室1厅1卫,73.51㎡,平层,板塔结合,高楼层(共8层),暂无数据,暂无,南,钢混结构,精装,,有,,交通便利公交站有天河北站、自驾便利、地铁站有石牌桥站体育中xin站林和西站
金融城鱼珠板块、近地铁、户型方正实用、采光佳！,425,47118,天河,3室2厅1卫,90.2㎡,平层,塔楼,高楼层(共18层),暂无数据,暂无,南北,钢混结构,其他,,有,本房源位于天河区金融城东部商圈、双地铁13/5交通便利有潜力、近公园近保利鱼珠港珠江。小区门口有华润旺家、乐购钞市、大型农贸菜市场、山姆会员店、宜家家居、居然之家、肯德基、必胜客餐厅、客家王酒店、博裕广场.,双地铁13/5号线、地铁13号线珠村站、就在家门口200米（预计2024年开通）、5号线三溪站1500米左右、公交快线BRT珠村站在家门口200米。小区2公里范围内可以连通黄埔大道、中山大道及广园快速路！
华景新城、信华花园、电梯南向三房、安静望园林,700,64286,天河,3室2厅2卫,108.89㎡,平层,塔楼,低楼层(共31层),暂无数据,93.85㎡,东南,钢混结构,其他,,有,天河公园购物及美食：华润家、喜士多、肯德基、喜茶、麦当劳、便利店、华景路及华景北路有临街商铺医疗：南医三院银行：四大行,小区北面500米就是华景新城公交总站、线路有293.194.B9.130.191、距离小区南面650米就是上社BRT、有20条左右公交车线路经过、可去到广州的各个地方、可坐191或者130、只需3站即可到达地铁三号线华师站、地铁11号线距离900米。
地铁口  天朗明居东向大两房  高层,270,38055,天河,2室2厅1卫,70.95㎡,平层,塔楼,高楼层(共18层),暂无数据,60㎡,东,钢混结构,其他,,有,富力天朗明居幼儿园、天和购物商场、好又多、卜蜂莲花市、东圃购物商场、天河城货；医院：家家乐医院、红十字会医院邮局：东圃邮局、天朗明居邮局,公交站：B1路、B2A路、B3路、B4路、B4B路、B5路、B6路、B7路、B15路、B16路、B17路、B18路、B19路、B20路、B27路地铁：4号线车陂站5号线车陂南站21号线棠东站
珠城旁14年楼龄 东南安静大两房   3阳台 通风采光好,466,51601,天河,2室2厅1卫,90.31㎡,平层,板楼,低楼层(共37层),暂无数据,暂无,东东南,钢混结构,其他,,有,商场：佳bai货天河东店、高志大厦、太阳新天地。银行：光大银行、民生银行。饮食：海南人酒家、牧人之家美食城娱乐：广州马会酒店,中铁盛德国际公交车石牌公交车途径路线方便、地铁岗顶3号线13号线二期地铁口物业
农科院中区 南北对流3房 户型实用,260,40124,天河,3室2厅1卫,64.8㎡,平层,板楼,中楼层(共5层),暂无数据,58.61㎡,南,混合结构,其他,,,步行300米的距离有幼儿园、卫生门诊部；步行400米左右有菜市场、商店、快递代收点、有自动存取款机、公园、娱乐广场；步行800米的距离有大型的菜市场、市、健身房、培训班、电影院、麦当劳、四大银行、餐饮店、文具店、服装店、华农大正门公交站、地铁站等,步行500米左右的距离有公交站----省农干科干院站、站台上有24条公交路线供选择、分别是：有210路、214路、266路、503路、508路、60路、776路、813路、B18路、B19路、大学城专线1路、大学城专线2路、广增11路、广增16路、广增3路、广增4路等等。
天河峰景 厅出阳台 08年 三开间朝南 大三房 望珠城,499,44590,天河,3室2厅2卫,111.91㎡,平层,塔楼,高楼层(共28层),暂无数据,90.73㎡,南,钢混结构,精装,,有,配套成熟、楼下有水果批发市场、商场银行以及餐厅、燕岭公园就在旁边、3公里范围内就有东方宝泰、信达金茂广场等大型商圈、让您的生活无忧,出小区门口左转就是六号线天平架地铁站、（步行距离100米左右）并且就是天平架公交总站有多条公交直达出行便捷
司法局宿舍(天河区) 3室2厅 南,420,47744,天河,3室2厅1卫,87.97㎡,平层,板楼,低楼层(共9层),暂无数据,暂无,南,钢混结构,精装,,有,,
珠江花城 南向横厅户型高层四房 采光通风好,618,51690,天河,4室2厅2卫,119.56㎡,平层,塔楼,高楼层(共26层),暂无数据,96.46㎡,南,钢混结构,其他,,有,项目生态规划优越、享受5+1公园体系：奥林匹克体育公园、影视文化休闲公园、大观、天河儿童公园、岐山公园+100000平方米珠江四季花园园林绿地。,规划19号线姬堂站坐落项目内、直达珠江新城、海珠、荔湾等重要区域、社区公交车总站接驳大沙地与黄村地铁站、坐地铁直达珠江新城、天河北、琶洲等商务区；社区内建4500㎡大型私享公交总站、为版块内的社区旗舰型交通配套。
精装三房 拎包入住 高层光线好 近地铁,490,51596,天河,3室2厅2卫,94.97㎡,平层,塔楼,高楼层(共32层),暂无数据,暂无,东北,钢混结构,其他,,有,配套：银行(建行、中行、深发展、交通银行、光大银行等)、酒店(广武大酒店、尚德大酒店、威斯丁酒店、天伦等)、医院（中山三院三甲医院）、华润、摩登、太古汇、正佳、商场、餐饮娱乐、银行、电影院、健身俱乐部等,公交车五山路口站天河北路师大后门站龙口东路站途经线路包括130路、133路、135路、191路、230路、232路、306路、32路、41路短线地铁地铁3号线岗顶华师站11号线
华附旁  电梯厅出阳台南向两房,388,60711,天河,2室2厅1卫,63.91㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,东南,钢混结构,其他,,,商场华润天娱广场摩登曜一城市场国六宝肉菜市场龙口东肉菜市场医院中山三院侨怡医院天河妇幼保健院博爱医院银行中国银行广发银行中国工商银行农业银行建设银行招商银行,公交车：五山路口站(天河北路)、师大后门站、龙口东路站、途经线路包括130路、133路、135路、191路、230路、232路、306路、32路、41路短线、地铁：地铁3号线11号线华师站
天惠大厦  厅出阳台一房一厅 户型方正实用,308,69323,天河,1室1厅1卫,44.43㎡,平层,塔楼,低楼层(共27层),暂无数据,34.34㎡,北,钢混结构,精装,,有,商场天娱广场曜一城市场国六宝肉菜市场龙口东肉菜市场肉菜市场医院中山三院侨怡医院天河妇幼保健院博爱医院银行中国银行广发银行中国工商银行农业银行建设银行招商银行,交通出行：公交：218路、41路、78路、133路、560路、883路、78路、191路、560路、813路、b10路、b11路、b17路地铁：3号线11号线华师站、3号线岗顶站
城市假日园 1室1厅 东北,248,53151,天河,1室1厅1卫,46.66㎡,平层,塔楼,中楼层(共18层),暂无数据,暂无,东北,钢混结构,其他,,有,,
