标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
兰亭盛荟 横厅南向三房 头排望江 视野开阔 诚心卖,780,73537,天河,3室2厅2卫,106.07㎡,平层,塔楼,高楼层(共33层),暂无数据,85.68㎡,南,钢混结构,精装,,有,,交通便利、一纵两横、两条主干道、一条快速路、驾车通行方便、（近5号线东圃地铁600米、步行800米、最近距离600米左右）、横穿四大区。
翠怡小区 2室1厅 东北,132,30436,海珠,2室1厅1卫,43.37㎡,平层,塔楼,中楼层(共8层),暂无数据,暂无,东北,钢混结构,精装,,,,
和平新村 3室1厅 东北,168,23250,荔湾,3室1厅1卫,72.26㎡,平层,塔楼,高楼层(共8层),暂无数据,65.29㎡,东北,钢混结构,简装,,,,
单边位2房、双阳台、三梯八户、通风采光好！,770,106886,天河,2室1厅1卫,72.04㎡,平层,塔楼,高楼层(共32层),暂无数据,58.8㎡,北,钢混结构,简装,,有,18号线已经开通、地铁5号线猎德站、双地铁。交通出行便利、购物商场、肉菜市、酒店、咖啡馆、中式、西式、港式餐厅、会所、四大银行、医院、优托邦、健身/游泳/SPA会所。高德置地春夏秋冬广场、东西塔、广州塔、兴盛路风情街。,地铁5号线三个地铁站、公交车到处打车方便、上至黄埔大道、下到临江大道、西为广州大道、东为华南快速、珠江新城主干道四通八达、畅通无阻、出行便利
低密度舒适小区  环境清幽 南向三房 保养良好满五唯一,145,15037,南沙,3室2厅2卫,96.43㎡,平层,塔楼,中楼层(共16层),暂无数据,暂无,东南,钢混结构,其他,,有,,小区门口有公交车站、1个站左右可以到地铁四号线黄阁地铁站、可到广州市区、南沙客运港方向
东圃广场 3室1厅 东南,430,43905,天河,3室1厅1卫,97.94㎡,平层,塔楼,中楼层(共19层),暂无数据,暂无,东南,钢混结构,精装,,有,,
祥庆花园 低层 一房一厅 小区管理 马赛克外墙 框架,110,33203,海珠,1室1厅1卫,33.13㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,北,钢混结构,简装,,,广bai新一城、bai佳、新一佳医院：红会医院邮局：宝岗大道邮政储蓄所银行：建设银行、工商银行、农业银行、交通银行其他：宝岗球场、麦当劳、KFC、顺泰风味馆小区内部配套：停车场,【地铁】距离二号线市二宫站约900米、市红会医院和堑口公交站、公交线路也很多、出行便利【环境】步行可到海幢寺和珠江江堤、饭后散步好地方
轻松上车、三房、成熟小区、装修保养新净、,75,8043,增城,3室2厅1卫,93.26㎡,平层,塔楼,中楼层(共5层),暂无数据,80.58㎡,西,钢混结构,精装,,,交通出行方便、生活配套完善、荔城芯、有公交车、距离地铁口约2公里、有富鹏市场、,
凯德山海连城二期 户型方正 通风采光好 看房方便 精装,275,25358,番禺,3室2厅2卫,108.45㎡,平层,板塔结合,中楼层(共32层),暂无数据,87.3㎡,南,钢混结构,其他,,有,小区有中国农商银行和中国工商银行、小区后门是步行街以及大型市场和菜市场、生活便利。楼下有公交站、去地铁站以及番禺市桥很便捷、出行方便。,距离石碁地铁站和海傍地铁站10公里左右、公交搭乘番126路、番128路、番92长线、番92路、番93路、番禺131路。
路劲隽泷湾 2室1厅 东南,270,31359,荔湾,2室1厅0卫,86.1㎡,平层,塔楼,中楼层(共18层),暂无数据,暂无,东南,钢混结构,其他,,有,,
丽江花园 东南向 原装新电梯中楼层 必看靓房,125,18741,番禺,2室2厅1卫,66.7㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,东南,钢混结构,简装,,有,润an家宏城bai佳supermarket福特玛市场：农家菜市场邮局：中国邮政银行：建设银行中国银行工商银行医院：丽江花园医务所、大石人民医院其他：停车场网球场游泳池会所健身场,125广卫路总站丽江花园总站122广州火车东站总站丽江花园总站522广州体育馆总站丽江花园地铁接驳专线(5)号线--至地铁二、三号线
保利高尔夫郡 3室2厅 北,124.6,12492,花都,3室2厅1卫,99.75㎡,平层,塔楼,高楼层(共31层),暂无数据,82.32㎡,北,钢混结构,精装,,有,,
广钢观鹤小区 满五唯一 一梯两户 近鹤洞地铁,110,22281,荔湾,2室1厅1卫,49.37㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,东南,钢混结构,其他,,,,
棠德花苑 2室1厅 西,180,29807,天河,2室1厅1卫,60.39㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,西,钢混结构,其他,,有,,
绿茵翠庭二期  电梯直达 大两房 诚心出 满五年,258,35528,海珠,2室1厅1卫,72.62㎡,暂无数据,塔楼,低楼层(共11层),暂无数据,暂无,西,钢混结构,其他,,有,南邻海珠湖、北望广州塔。地理位置旺中带静方圆800米3个大型肉菜市场、满足生活所需、300米内卷烟一厂站、十几条路线、通达客村、赤岗、天河等各大区域、保障通勤时效。公交直达三甲医院广东省第二人民医院、保障生活质量,公交大塘路口站、小区门口有碧映路东站、卷烟一厂站：20路69路130路184路190路226路464路763等多条公交线路途经此小区、通达客村、赤岗、天河等各大区域地铁：3号线大塘站/8号线赤岗站客村站
自由人花园 5室2厅 南,360,20006,花都,5室2厅3卫,179.95㎡,平层,塔楼,低楼层(共32层),暂无数据,149.37㎡,南,钢混结构,毛坯,,有,,
保利花香美苑 3室2厅 北,350,31877,荔湾,3室2厅2卫,109.8㎡,平层,塔楼,中楼层(共32层),暂无数据,暂无,北,钢混结构,精装,,有,,
东南向视野开阔 高层无遮挡 保养好 新装修 拎包入住盖,818,46743,番禺,4室2厅3卫,175㎡,平层,塔楼,高楼层(共54层),暂无数据,暂无,东南,钢混结构,精装,,有,大型综合体有祈福缤纷世界、2期、3期城市综合体也正在建设之中、含写字楼、大型shopping-mall等各种业态、将刷新华南版块天际线。综合商场有祈福市场、钟福广场等、以及有中国银行、建设银行等银行、80000多平方米酒店度假俱乐部等,交通方便。祈福车站有接驳公交到地铁站、地铁3号线(汉溪长隆站3公里)、地铁7号线(钟村站2公里)。还有到广州各区和香港直通车。专线巴士从祈福到天河、白云机场。祈福总站、您出行的始发站、给您便捷的出行体验
睿品、自带50方大露台、栽花养鱼、花前月下、人生赢家,100,11355,增城,3室2厅2卫,88.07㎡,平层,暂无数据,低楼层(共23层),暂无数据,暂无,北,钢混结构,毛坯,,,小区2公里范围内有客运站、永旺梦乐城、迈达广场、合生汇商场、南方三院、小区公园等,新塘客运站、地贴13号线官湖站、公交站、广园快速路、荔新路。
革新路、太古仓、近江边、南北对流、电梯、交通方便,129,28302,海珠,2室1厅1卫,45.58㎡,平层,塔楼,中楼层(共8层),暂无数据,暂无,南北,钢混结构,简装,,有,公园洲头咀公园、滨江公园、沙面公园太古仓交通、洪德路同福西、滨江西路公交站地铁8号线同福西站200米人民桥工业大道生活龙福市场龙导尾市场医疗红十字会医院孙逸仙医院少年宫。,凤凰新村地铁站、步行600米左右、凤凰岗公交总站步行236米左右、有16路、487路。凤凰岗站步行360米左右、有31路、989路、b21路、夜7路、革新路（金沙路口）步行340米左右、有989路；梅园西步行250米左右、有9路、10路、16路、31路、75路。
江南西 昌岗 宝岗 汇源小区 两房一厅 厅出阳台南向,168,28151,海珠,2室1厅1卫,59.68㎡,平层,塔楼,中楼层(共7层),暂无数据,暂无,南北,钢混结构,精装,,,商场:江南西步行街、屈臣氏、国美电器、苏宁电器市场：细岗肉菜市场、金昌肉菜市场、润南肉菜市场、泰宁市场、沙园市场、银行：中国银行、建设银行、工商银行、农业银行。医院：正骨医院、广医二院、珠江医院,
康乐园 2室2厅 南,130,19090,番禺,2室2厅1卫,68.1㎡,平层,塔楼,高楼层(共7层),暂无数据,58㎡,南,混合结构,其他,,,,
晓港中马路 2室1厅 南,110,23641,海珠,2室1厅1卫,46.53㎡,平层,塔楼,中楼层(共6层),暂无数据,42.04㎡,南,混合结构,其他,,,,
视野开阔无遮挡格局实用楼层朝西向,148,15745,番禺,3室1厅1卫,94㎡,平层,塔楼,中楼层(共7层),暂无数据,暂无,西,钢混结构,简装,,,,
省公安厅房改、南北对流、24小时大院管理、有加装电梯,420,55807,越秀,2室1厅1卫,75.26㎡,平层,暂无数据,低楼层(共7层),暂无数据,67.99㎡,南,钢混结构,其他,,有,此房子环境很好、大院管理、配套环境安静、保利中环时光里电影院、星巴克、交通出行方便、小北地铁站、淘金地铁站、北较场横路公交站,有时光里公园广场、星巴克和书店；保利中环、友谊广场、丽柏广场、中华广场四个商场；盒马生鲜、建设肉菜市场就在隔壁；麓湖公园、越秀公园、烈士陵园、黄花岗公园四个公园；花园酒店、白云宾馆、白云宾馆、皇冠假日、银行、配套完善、生活便利。
次新小区、精装3房、 南北向 绿化好宜居 交通便利,490,51149,天河,3室2厅2卫,95.8㎡,平层,塔楼,低楼层(共20层),暂无数据,暂无,南,钢混结构,精装,,有,未来ing综合体、广州医科大学中医医院、天健汇（华见）天河城、迪卡侬运动、欧尚大型、西蒙、大地数字影院、小Q儿童城及大型泳乐场、苏宁电器、华润、卜峰莲花。,公交：764路、40路、408路、764路广氮花园总站、广氮花园南、BRT多条线路通往5号线车陂南站、4号线车陂。距离已开通的地铁4号线黄村站1660米、棠东站21号线
小区花园 楼龄新净 通风采光好、东南朝向,188,40870,荔湾,1室1厅1卫,46㎡,平层,塔楼,中楼层(共31层),暂无数据,暂无,东南,钢混结构,简装,,有,步行100米就是荔枝湾公园、50米到盛悦广场、荔湾湖公园、步行500米就是恒宝广场、步行800米就是广医三院、生活配套好。,地铁有广州地铁1号线长寿路地铁站、五号线中山八地铁站、公交有泮塘路总站、恒宝广场总站、长寿西公交站450米、宝华路口公交站420米、逢源路口公交站在楼下。
恒润阁 1室1厅 南 北,60,25609,荔湾,1室1厅1卫,23.43㎡,平层,塔楼,中楼层(共9层),暂无数据,20.15㎡,南北,钢混结构,其他,,,,
石碁绿庭雅苑 3室2厅 西,145,15910,番禺,3室2厅2卫,91.14㎡,平层,塔楼,中楼层(共7层),暂无数据,暂无,西,钢混结构,简装,,,,
岭南雅院 2008年越秀物业 电梯 实用大三房 通风采光好,345,30200,白云,3室2厅2卫,114.24㎡,平层,塔楼,中楼层(共14层),暂无数据,暂无,南北,钢混结构,精装,,有,新都汇购物广场、新一佳、悦汇城、骐利广场、小区：篮球场、羽毛球场、游泳池银行：中国工商银行、中国邮政储蓄所、农业银行、建设银行,地铁：8号线同德地铁站、鹅掌坦站公交车站：同德乡站、鹅掌坦站、途经线路有176、545、238、134、196、215、80、539、212、729、731路
沙河南城龙岗路口新电梯小区户型方正业主诚心卖少有挂,215,29849,天河,2室2厅1卫,72.03㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,北,钢混结构,简装,,有,,【交通出行】沙河大街先烈东路、沙河大街站几十条公交站、沙河站双地铁6号11号线交汇、出来到沙河顶上内环路东风路、中山一立交等主干道很方便。南北走向、东西走向就可速达。
时代三期一线靠湖、中高楼层望小区园林、自住保养新净,285,24738,黄埔,3室2厅2卫,115.21㎡,平层,塔楼,高楼层(共29层),暂无数据,94.16㎡,北,钢混结构,精装,,有,小区旁边有凤凰湖公园三甲医院城市综合体酒店地铁等配套,
近地铁、交通便利、电梯2房户型方正、,138,22848,白云,2室1厅1卫,60.4㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,北,钢混结构,简装,,有,,地铁8号线距离聚龙地铁50米公交：215路、17路、545路、832路、527路、524路、238路、175路、176路、196路、228路、539路、212路、241路
中间楼层、装修保养好、使用率高,274,30290,黄埔,3室2厅1卫,90.46㎡,平层,塔楼,中楼层(共33层),暂无数据,74.91㎡,西北,钢混结构,精装,,有,奥园广场锐丰广场星汇云际达广场中山三院岭南医院区府市民广场创新公园香雪地铁萝岗地铁、6/7号线有轨电车黄埔中医院香雪公园宝能演艺致泰广场,
广钢观鹤小区 2室1厅 东南,168,24598,荔湾,2室1厅1卫,68.3㎡,平层,塔楼,中楼层(共9层),暂无数据,61.7㎡,东南,钢混结构,简装,,有,,
保利林海山庄 3室2厅 东北,380,38713,天河,3室2厅2卫,98.16㎡,平层,塔楼,高楼层(共9层),暂无数据,85.23㎡,东北,钢混结构,精装,,有,,
双子星城 1室1厅 南,118,35182,海珠,1室1厅1卫,33.54㎡,平层,塔楼,高楼层(共15层),暂无数据,暂无,南,钢混结构,其他,,有,,
3号线地铁、电梯高层、南向3房通风采光好,200,22876,番禺,3室1厅1卫,87.43㎡,平层,板塔结合,中楼层(共11层),暂无数据,69.69㎡,南,钢混结构,其他,,有,,交通出行方便、门口有公交车到南站、广州海珠、门口有新光快速和南大干线、华南快速、出行方便
方圆云山诗意三期 3室2厅 北,92,11608,增城,3室2厅1卫,79.26㎡,平层,塔楼,中楼层(共32层),暂无数据,暂无,北,钢混结构,精装,,有,,
中山七路 1室0厅 南 西,52,37984,荔湾,1室0厅1卫,13.69㎡,平层,暂无数据,低楼层(共3层),暂无数据,暂无,南西,钢混结构,其他,,,,
刚需上车盘、满五唯一、交通便捷、环境安静,188,21843,荔湾,3室1厅1卫,86.07㎡,平层,塔楼,高楼层(共7层),暂无数据,78.12㎡,西北,钢混结构,其他,,,商场：大利家、沃尔玛、荔胜广场。饮食：麦当劳、肯德基、其贤酒家、荔宴酒家、粥旺庄酒家。银行：农业银行、工商银行、建设银行、邮政银行,小区门口120米广佛线鹤洞站、公车站200米、经过的路线有277、69、70、565、222、583、217、19、91、410、、285、485、769、811、275、高峰46、68、81、夜行103、11、36、44、72等、出行十分便捷
近地铁 电梯两房 保养新采光好 方正实用,169,26174,白云,2室1厅1卫,64.57㎡,平层,塔楼,高楼层(共9层),暂无数据,56.44㎡,东南,钢混结构,其他,,有,公园小区大门距离江边儿童公园约1300米商场小区正门距离金沙洲永旺梦乐城约1700米地铁小区正门距离6号线地铁横沙站约300米,
吉祥楼大两房 近地铁、仲元、二楼带平台、满五,155,24032,番禺,2室1厅1卫,64.5㎡,平层,塔楼,低楼层(共8层),暂无数据,暂无,东南,钢混结构,其他,,,商场永辉商场医院大石医院广州紫荆医院社区医院邮局洛溪邮局银行中国银行工商银行广发银行农业银行农商银行邮政银行其他海鲜烧烤食街新城酒家、168酒家洛溪市场洛溪食街,公交：楼下就是地铁2号线C口、距离300米。公交129路、53路、146路、769路、番17、番13、79路、125路、211路、301路、308路、522路、562路、822路、地铁接驳4号、地铁接驳5号等地铁2号洛溪站3号线夏滘站等
房子格局方正、标准3房1卫 、南向望花园.,90,9275,增城,3室1厅1卫,97.04㎡,平层,塔楼,高楼层(共8层),暂无数据,79.68㎡,南,钢混结构,精装,,有,配套齐全。。三甲医院.妇幼保健院.钟岗地铁站584米..金山市场。,小区门口出门就是公交车站、转个弯就是21号线的钟岗站、双向八车道。交通便利
准电梯、南北向、安静、步行500米到天河公园和地铁站,315,34919,天河,2室1厅1卫,90.21㎡,平层,塔楼,中楼层(共10层),暂无数据,暂无,南,钢混结构,其他,,,医院：华侨医院邮局：员村邮局银行：中国银行、中国工商银行、中国建设银行、中国农业银行龙岛酒家、金华安酒家、璟轩酒家、君利大酒店、天河公园、跑马场,交通方便、出门就是黄埔大道、地铁线21号线天河公园站、公交：261路、278路等
品秀星图 2室1厅 西南,209.4,21383,增城,2室1厅2卫,97.93㎡,平层,塔楼,高楼层(共50层),暂无数据,71.82㎡,西南,钢混结构,精装,,有,,
北城白云花园、业主诚意出、地铁700米、装修保养好,235,20908,番禺,3室2厅2卫,112.4㎡,平层,塔楼,中楼层(共17层),暂无数据,暂无,西,钢混结构,精装,,有,钻汇广场、喜悦天地、雅居乐邻里时光、永辉商场、白沙堡市场、云桥头市场、菜当家、及钱大妈、石桥公园、城北公园、儿童公园、农业银行、中国银行、工商银行、建设银行、市桥医院、中医院、南粤医院等。,
暨南大学南北对流三房、诚意急出、中层少有放盘的,450,57013,天河,3室1厅1卫,78.93㎡,平层,板楼,中楼层(共5层),暂无数据,71.31㎡,南北,混合结构,精装,,,,
金玫瑰苑 全明屋两房 满五唯一 采光通风好,243,34980,海珠,2室2厅1卫,69.47㎡,平层,塔楼,中楼层(共19层),暂无数据,58.38㎡,东南,钢混结构,简装,,有,商场：新光X货、华润X家、沃尔玛、医院：孙逸仙纪念医院南院区（三甲医院）、紫荆医院、广州医科大学附属口腔医院（东晓南院区）银行：工商银行、农业银行、建设银行、饮食:江南菜馆、海晏楼；菜市场：XG湾肉菜市,地铁：2号线（在建10号线）D晓南站、南洲站；广佛线南洲站公交：273路、263路、35路、70路、75路、239路、276路、780路、882路、546路、466路、278路等
晓燕湾 地铁2/11号线 电梯 南向,135,32228,海珠,1室1厅1卫,41.89㎡,平层,塔楼,中楼层(共10层),暂无数据,暂无,南,钢混结构,精装,,有,,位于海珠区江燕路、地铁站近、如江泰路、燕岗等、公交线路众多、交通便利、便于快速到达城市各处
保利葛洲坝海德公馆 3室2厅 东,430,42050,荔湾,3室2厅2卫,102.26㎡,平层,塔楼,低楼层(共25层),暂无数据,暂无,东,钢混结构,精装,,有,,
C区南向  中高层  正南向  望花园,490,44930,白云,3室2厅2卫,109.06㎡,平层,塔楼,高楼层(共11层),暂无数据,91.35㎡,南,钢混结构,其他,,有,该小区配套成熟、生活方便。小区1号门出来是大型购物商场、云门PARK、云里、云悦。小区内也有钱大妈、出口商业街有银行等、能够满足您日常的生活所需,小区最近的地铁站嘉禾望岗站、广州地铁2、3、14号线交会站、步行800米即可到达。公交车线路包括804路、805路、799路、920路、922路、924路、926路、509路、66路、803路等。自驾车可从白云大道北、白云堡立交、经高速达华南快速干线三期永泰出口。
西华路 1室1厅 北,115,32043,荔湾,1室1厅1卫,35.89㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,北,钢混结构,其他,,,,
少有2梯4户3房、中高楼层、阳台看约500米中轴园林景观,235,27393,黄埔,3室1厅1卫,85.79㎡,平层,塔楼,高楼层(共33层),暂无数据,69.21㎡,北,钢混结构,精装,,有,1、楼下有华润、麦当劳、钱大妈、京东便利店、美宜佳、水果园、农业银行。2、奥园广场、植树公园、香雪公园、萝岗图书馆、锐丰广场、可以逛街看电影、满足平时生活需求、配套齐全。3、三所三甲医院：中山大学附属岭南医院、广东省第二中医院、妇女儿童医院,1、距离地铁六号线(香雪站)1200米2、小区外有瑞和路北(开泰大道口)站:321路、367路、349路、358路、359路、388路、夜97路；荔红二路站:367路、339路、358路、337路、335路、578路、B24路、夜97路；瑞和路站:393路、337路、B24路、338路、359路等
地铁口改善型小区低楼层采光好户型方正,135,15562,黄埔,2室2厅1卫,86.75㎡,平层,塔楼,低楼层(共24层),暂无数据,67.9㎡,北西北,钢混结构,其他,,有,,
金州地铁 时代云图2房 东边边位 保养好,146,21592,南沙,2室1厅1卫,67.62㎡,暂无数据,塔楼,低楼层(共31层),暂无数据,53.15㎡,东北,钢混结构,精装,,有,,
君湖华庭中高层望流花湖、精装修、大平层、双公园地铁,1030,61493,荔湾,4室2厅2卫,167.5㎡,平层,塔楼,中楼层(共42层),暂无数据,140.45㎡,西南,钢混结构,精装,,有,花湖公园流距离100米路程、越秀公园800米路程、地铁:(火车站)2号线和5号线路、公交车:29路、181路、823路、275路、518路。银行有:中国银行、农业银行、工商银行、建设银行、华夏银行、浦发银行、300米路程。,多条公交线路经过有、夜11路、52路、238路、160路、275路、518路、530路、552路、823路、181路、260路、29路、52路、商务专线3路、地铁:5号线和2号线广州火车站跟越秀公园站.
黄沙大道 天佑社区 低层  置业之选,89,24113,荔湾,1室1厅1卫,36.91㎡,平层,塔楼,低楼层(共6层),暂无数据,33.35㎡,西南,混合结构,其他,,,市场：清平路肉菜市场、多宝路肉菜市场；医院：荔湾区中医院、广州市第三附属医院；幼儿园：多宝幼儿园；购物：、西城都荟。荔湾湖公园、沙面景区荔湾湖公园100米；广州市第三附属医院200米；多宝路菜市场500米；购物：恒宝广场、西城都荟。,步行330米就到六号线的如意坊地铁B口、再步行559米就到地铁一号线黄沙站C口即是西城都荟大型商城、可坐到地铁一号线长寿路站、或者换乘到六号线金沙洲方向去到广州任意地区
电梯房 南向 楼龄新、小两房可以做公积金,168,35684,海珠,2室1厅1卫,47.08㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东南南,钢混结构,精装,,有,滨江地区、环境安静舒适、风景宜人、地段也好、有连锁市场、菜市场、交通也方便。有完整的配套、为提供舒适的环境小区、是你生活居住的好选择。,公交车江湾桥南站、途经的线路包括B5路、264路、285路、129路、811路、24路、551路、91路、65路。地铁：西门至2号线市二宫站900米、小区地下配建了一层停车场、自驾可直上内环、直达珠江新城
白云雅苑 2室1厅 东南,130,17518,白云,2室1厅1卫,74.21㎡,平层,塔楼,中楼层(共9层),暂无数据,65.76㎡,东南,钢混结构,简装,,有,,
招商臻园南向高层 视野通透无遮挡 满二 精装修,220,18604,增城,4室2厅2卫,118.26㎡,平层,塔楼,高楼层(共32层),暂无数据,93.99㎡,南,钢混结构,精装,,有,小区旁边有旺达广场、合生汇广场永旺梦乐城、金融街写字楼、新塘政务中.心。新塘客运站、三级南方医院增城分院等配套,小区接近荔新公路、广园快速路、还有广增线、直达广州市区、出行便利、小区300米有571路、6路公交、新塘-增城公交车、广州-增城专线车
东湖洲精装四房、南北对流实用户型、望园区,588,36114,番禺,5室1厅3卫,162.82㎡,平层,塔楼,低楼层(共25层),暂无数据,140.4㎡,南,钢混结构,其他,,有,永旺广场、清河市场、九鸿广场、生活交通都方便.临街亦有多个食市和多条经过的公交线路、到市桥到广州都方便,
大院环境 电梯两房 全明采光 框架结构 楼龄新净,168,27673,荔湾,2室1厅1卫,60.71㎡,平层,板楼,中楼层(共9层),暂无数据,53.09㎡,南北,钢混结构,其他,,有,购物餐饮：克山菜市场、陈岗市场、悦汇城、老伙计茶楼、重庆饭店、真好嘢饭店、有医院：三甲陆军总医院、站前社区医院、荔湾中医院、省妇幼；有多家银行：工商银行、建设银行、农业银行、公园：流花湖公园、荔湾湖公园、越秀公园、是理想宜居之地。,地铁：5号线西村站、广州火车站1公里、8号线彩虹桥站900米、未来11号线彩虹桥站以及未来22号线、13号线交汇、地铁网多、去往各个区域都方便。公交站：西站公交站250米、克山公交站300米、530.552.52.518.广260.274.179路等、去哪都方便。
