标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
东山口 近中山医 省医 电梯三房 采光好 东南向,308,41304,越秀,3室2厅1卫,74.57㎡,平层,塔楼,高楼层(共7层),暂无数据,暂无,东南,混合结构,简装,,有,,交通出行很方便~、双号线1号线~、6号线东山口~、1号线烈士陵园。各路公交车
东华东路~、低层小面积~、实用面积大,260,55890,越秀,2室1厅1卫,46.52㎡,平层,塔楼,低楼层(共6层),暂无数据,暂无,南,混合结构,简装,,,配套完善~、生活便利！生活圈有东山大楼、东山市场、龟岗肉菜市场~、庙前西街、庙前直街~、龟岗大马路美食街等等...近在咫尺~、完全能满足日常所需。闲暇时可逛街散步还有东山湖公园~、园内风景优美。医疗有相当出名的~、中山医科大学~、和广东省人民医院等等~、..,地理位置出行便利~、四通八达~、有地铁1号线、6号线东山口站两线交汇处~、东湖站。公交车有215号~、3号~、811号~、813号等等
濠畔街小社区 中层七字单边位 三房两厅,195,29726,越秀,3室1厅1卫,65.6㎡,平层,塔楼,高楼层(共5层),暂无数据,59.26㎡,东,混合结构,其他,,,周辺配套成熟~、娱乐丰富~、社区环境整洁~、交通便利~、步行可达地铁站~、市场、餐馆、公园等设施一应俱全~、生活便捷性佳比高是追求品质生活的理想之选。,交通出行便利。步行即可轻松抵达6号线一德路站~、快速连接城市各大区域。周辺公交线路众多~、出行选择多样。无论是前往市内、商区还是其他区域~、都能轻松实现快速通达~、为居民提供便捷的出行体验。
中山六路 2室1厅 西南,135,23676,越秀,2室1厅1卫,57.02㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,西南,钢混结构,其他,,,,
越秀上品轩优质三房带主套 中间楼层无遮挡,650,60976,越秀,3室1厅1卫,106.6㎡,平层,塔楼,低楼层(共31层),暂无数据,84.7㎡,东北,钢混结构,其他,,有,小区一公里内有人民公园~、五仙观景点~、流花湖公园~、陈家祠广场~、市一医院~、省中医~、广医二院~、孙逸仙~、甜水巷菜市场~、西华菜市场~、金花街菜市场等,地铁一号线西门口站就在楼下~、中山六路公交车站100米~、人民中路公交车站150米~、人民北路公交车站300米。
一德花园~、户型实用三房~、电梯新。,285,48718,越秀,2室1厅1卫,58.5㎡,平层,塔楼,中楼层(共25层),暂无数据,暂无,东南,钢混结构,其他,,有,一德路综合批发市一德路地铁站海珠广珠地铁口广医一院广东省中医院,此物业位于一德路~、双地铁沿线~、海珠广场一个是六号线另外是二号线~、还有多条公交路线~、出行方便
东山口 小区管理 南北通透 铁一,370,59543,越秀,2室1厅1卫,62.14㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,南北,钢混结构,其他,,,,广东省人民医院~、中山大学附属医院~、中山大学附属肿瘤医院~、广州市中山眼科医院~、广州市第八人民医院(东风院区)~、广州医科大学附属医院。交通出行：地铁：1号线~、6号线东山口站。杨箕站公交：106路、129路、夜15路、夜27路、299路、37路、551路、63路....
西场社区~、加装电梯协商中~、户型方正视野开阔没有遮挡,150,22550,越秀,2室1厅1卫,66.52㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,南北,钢混结构,其他,,,流花湖公园人民医院军区总医院省妇幼医院儿童医院广医附属第三医院~、中国银行~、工商银行~、悦汇城~、若比邻~、南源肉菜市场~、西村肉菜市场,距离地铁5号线西场站300米（在建13号线也在此站交汇换乘）公交车：215~、134~、527~、521~、4~、80~、114~、253~、B3~、88~、276~、268~、261~、12~、196~、253~、305~、212~、46~、283~、17~、高峰283~、高峰B3~、高峰59~、夜21~、夜45~、夜3~、夜30
原装电梯三房 近公园 视野好 通风采光好,2160,170213,越秀,3室2厅2卫,126.9㎡,平层,塔楼,中楼层(共26层),暂无数据,暂无,北,钢混结构,其他,,有,小区配套完善有越秀公园中山纪念堂图书馆大型购物商场小区5楼是空中花园有游泳池等,地铁5号小北站2号线纪念堂站公交小北花圈有191~、864~、833~、10~、36~、66~、6~、864~、190~、233~、等
此物业厅大房大~、南向厅出阳台~、通风采光好。,260,40130,越秀,2室2厅1卫,64.79㎡,平层,暂无数据,高楼层(共8层),暂无数据,暂无,南,钢混结构,精装,,,地铁：地铁六号线一德路站；公交：2路、3路、4路、夜5路、6路、夜6路、夜7路、8路、夜16路、夜26路、31路、夜31路、38路、夜39路、62路、66路、夜72路、82路、86路、102路、103路、106路、110路、夜121路、128路、134路、186路、209路、217路、541路等。,
东风东路 黄华路 楼梯两房 低总值 业主诚心,160,27525,越秀,2室1厅1卫,58.13㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,西,钢混结构,简装,,,商场：东山广场、医院：中大附属肿瘤医院、中大广州达安临床检验邮局：区庄邮局、犀牛路邮政所银行：建设银行、工商银行、中国银行其他：黄花岗公园小区内部配套：停车场,公交：2路、54路、56路、62路、185路、189路、204路、261路、283路、284路、293路、305路、517路、518路、542路、550路地铁：5号线区庄站、5号线动物园站
农讲所 房改实用 中层三房 框架 过五唯一,250,43388,越秀,3室1厅1卫,57.62㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,南北,钢混结构,其他,,,人民公园北京路步行街大型购物场肉菜市场生活购物便利完善四大银行越秀区妇幼医院越秀区中医院,
五羊小区 加装电梯小户型 生活配套成熟 交通便利 东实,140,43710,越秀,1室1厅1卫,32.03㎡,平层,塔楼,中楼层(共10层),暂无数据,暂无,北,钢混结构,其他,,有,商场：华润菜市场：明月~、寺右~、东兴南邮局：五羊邮政银行：中国银行、建设银行、农业银行、工商银行医院：愈生医院、省中医院门诊部其他：麦当劳、肯德基,交通出行：地铁：5号线五羊新邨站~、3号线珠江新城站~、10号线寺右新马路站~、公交路线~、40路珠江宾馆站~、811路~、44路~、B22路
华景大厦 东南向电梯3房 视野开阔,439,49166,越秀,3室1厅1卫,89.29㎡,平层,塔楼,中楼层(共25层),暂无数据,73.26㎡,东南南,钢混结构,其他,,有,商场：华润、医院：广州愈生中医院、解放军南部军区门诊部、中山医院银行：中国建设银行、招商银行、邮政银行、工商银行等其他：麦当劳~、肯德基~、7-11便利店,5号线~、3号线/5号线站公交线路南方报社站：122、130、183、195、252、263、301a路等~、和珠江新一路之隔。
东风东 封闭花园小区 安全安静 近地铁 08年楼龄,1250,130918,越秀,2室1厅1卫,95.48㎡,平层,塔楼,高楼层(共33层),暂无数据,暂无,东南,钢混结构,其他,,有,,距离区庄地铁站200米~、双地铁5号和6号线交汇~、出行很方便~、小区出门即东风东路~、自驾出行很方便
近盘福立交13号线靓装修的中层小两房,183,45512,越秀,2室1厅1卫,40.21㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,西,钢混结构,其他,,,,公园前纪念堂西门口地铁站1、2和13号线~、海珠北路公交车站~、六榕路公交车站~、市一公交车站~、中山六路公交车站等等。
东南北向~、阳光通风好~、珠江美景广州塔尽收眼底~、,1920,116974,越秀,3室2厅3卫,164.14㎡,平层,塔楼,高楼层(共51层),暂无数据,125.54㎡,东南北,钢混结构,简装,,有,海心沙公园~、二沙岛~、珠江美景广州塔~、二沙中医院~、花城广场~、图书馆~、美术馆~、凯旋华美达酒店~、珠江宾馆~、明月菜市场~、邮政银行~、中国银行~、5号地铁~、公交广州大桥四通八达。,
万福路 通正巷  高层  方正两房,188,43783,越秀,2室1厅1卫,42.94㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,西北,钢混结构,简装,,有,天字码头江边新大新、天河城、北京路步行街、中华广场。越秀区长堤医院广医一院中山二院省中医省人民医院邮局：中国邮政银行：工商银行、农业银行、中国银行、建设银行、广发银行。其他：中山图书馆~、广州少儿图书馆,沿江路公园~、户型方正~、格局合理~、采光通风好~、越秀南客运站~、东湖公园~、省医院~、中山一医院~、6号线团一大地铁A出口~、1号线农讲所地铁A出口~、越秀南路公交站~、珠光路公交站~、珠光路菜市场~、近天字码头~、有水吧。多条路线去往各区
越秀区 北站路 原装电梯 两房 南北对流 近地铁,110,21992,越秀,2室1厅1卫,50.02㎡,平层,塔楼,中楼层(共10层),暂无数据,暂无,南北,钢混结构,简装,,有,,房子距离北站公车站100米~、距离三元里地铁站步行200米~、多条线路去往越秀~、天河~、海珠~、荔湾等旧城区
区庄 广工大院 电梯精装三房 保养好 一梯一户 框架,560,66548,越秀,3室1厅1卫,84.15㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,南,钢混结构,精装,,有,商场：东山广场、医院：中大附属医院~、中山大学眼科医院~、省人民医院等。邮局：区庄邮局、犀牛路邮政所银行：建设银行、工商银行、中国银行其他：黄花岗公园小区内部配套停车场,广工大院出小区300米就是5号线和6号线区庄站~、400米就是东山广场总站~、公交站公交：2路、54路、56路、62路、185路、189路、204路、261路、283路、284路、293路、305路、517路、518路、542路、550路地铁：5号线区庄站、5号线动物园站公交：2路、54路、56路
荔湾路南向两房~、电梯走半层~、全明屋采光好~、保养新净,210,35348,荔湾,2室1厅1卫,59.41㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,南,钢混结构,精装,,有,,从小区走出来600米就能到陈家祠地铁站~、开车出来230米左右可以到中山八路~、中山八路四通八达自驾车很便利。
黄沙大道实用三房 大院管理 诚意出手,198,29273,荔湾,3室1厅1卫,67.64㎡,平层,塔楼,中楼层(共8层),暂无数据,暂无,东北,钢混结构,其他,,,市场：周门肉菜市场、清平路肉菜市场、多宝路肉菜市场；医院：广州市中医医院、广医三院（两家三甲医院）；购物：海荟城、华润商城、西城都荟；休闲：荔湾湖公园、荔枝湾、广州铁路博物馆、沙面岛等。,地铁：596米中山八地铁站换乘5/11号线~、830米如意坊地铁站换乘6/11号线；公交：荔湾湖公园西门公交站139米~、中山八路总站510米。
电梯房 日常购物方便 配套设施齐全 出行便利,99,19620,荔湾,2室1厅1卫,50.46㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,东南,钢混结构,简装,,有,小区500米内的生活圈内有：建设银行、中国银行、桥梓肉菜市场、桥东肉菜市场、天天饭店、兴安生活市场、香凝电影院、荔湾区文化中心、大参林药房、芳村儿童福利幼儿园等生活设施完善、齐全。,该小区距离桥东公交站约80米左右~、有19、52、57、55、206、309等十多路公交车途经~、而且可接驳地铁5号线滘口站或地铁1号线芳村站~、交通出行~、方便快捷。
保利碧桂园·公园大道 2室1厅 东南,450,52509,荔湾,2室1厅1卫,85.7㎡,平层,塔楼,高楼层(共25层),暂无数据,暂无,东南,钢混结构,精装,,有,,
如意坊路 1室1厅 东南,79,20351,荔湾,1室1厅1卫,38.82㎡,平层,塔楼,高楼层(共7层),暂无数据,暂无,东南,钢混结构,简装,,,,
如意坊路 1室1厅 东南,79,20351,荔湾,1室1厅1卫,38.82㎡,平层,塔楼,高楼层(共7层),暂无数据,32.2㎡,东南,钢混结构,简装,,,,
独栋别墅 全明三房 光线好 房子内部设计合理,159,45941,荔湾,3室2厅2卫,34.61㎡,平层,暂无数据,低楼层(共1层),暂无数据,暂无,南,砖木结构,精装,,,周记餐馆~、星巴克~、肯德基~、电影院~、中国银行~、工商银行~、农业银行等~、配套设施成熟~、西场车站~、交通生活便利,公交路线~、176路~、261路~、62路~、71路~、80路~、高峰快线17~、高峰快线2~、3.夜15~、夜21~、夜2公交线~、到地铁站两个公交站
中山七路 1室0厅 南 西,52,37984,荔湾,1室0厅1卫,13.69㎡,平层,暂无数据,低楼层(共3层),暂无数据,暂无,南西,钢混结构,其他,,,,
大院环境 电梯两房 全明采光 框架结构 楼龄新净,168,27673,荔湾,2室1厅1卫,60.71㎡,平层,板楼,中楼层(共9层),暂无数据,53.09㎡,南北,钢混结构,其他,,有,购物餐饮：克山菜市场~、陈岗市场、悦汇城~、老伙计茶楼~、重庆饭店~、真好嘢饭店~、有医院：三甲陆军总医院~、站前社区医院~、荔湾中医院~、省妇幼；有多家银行：工商银行、建设银行~、农业银行~、公园：流花湖公园~、荔湾湖公园~、越秀公园~、是理想宜居之地。,地铁：5号线西村站、广州火车站1公里、8号线彩虹桥站900米~、未来11号线彩虹桥站以及未来22号线~、13号线交汇~、地铁网多~、去往各个区域都方便。公交站：西站公交站250米~、克山公交站300米~、530.552.52.518.广260.274.179路等~、去哪都方便。
黄沙大道 天佑社区 电梯半层 全明单边大两房,178,30324,荔湾,2室1厅1卫,58.7㎡,平层,塔楼,高楼层(共6层),暂无数据,暂无,西西北,钢混结构,其他,,,市场：清平路肉菜市场~、多宝路肉菜市场；医院：荔湾区中医院~、广州市第三附属医院；幼儿园：多宝幼儿园；购物：~、西城都荟。荔湾湖公园~、沙面景区荔湾湖公园100米；广州市第三附属医院200米；多宝路菜市场500米；购物：恒宝广场~、西城都荟。,步行500米就到六号线的长寿路地铁B口~、再步行100米就到地铁一号如意坊站C口即是500米西城都荟大型商城~、可坐到地铁一号线长寿路站~、或者换乘到六号线金沙洲方向去到广州任意地区
恩宁路永庆坊商圈 临街商铺 复式两层 上居下铺,150,54606,荔湾,3室1厅1卫,27.47㎡,平层,暂无数据,低楼层(共1层),暂无数据,27.47㎡,北,混合结构,精装,,,,步行到1号线和6号线黄沙地铁站300米路程距离恩宁路公交站和宝华路公交站200米路程
高楼层东南向望江 少有放盘楼层 采光靓,570,52017,荔湾,3室2厅2卫,109.58㎡,平层,塔楼,高楼层(共42层),暂无数据,暂无,东东南,钢混结构,其他,,有,小区旁有小绿堡幼园、青檬幼园~、小-初的资源丰富~、足球场、篮球场、停车场、公园小区、交通便利~、空气较好~、视野开阔~、生活气氛浓厚~、让您尽情享受生活的乐趣~、物业管理较优质。,地铁广佛线鹤洞站B出口走路大约500米即达小区门口公交：69路、181路、19路、217路、222路、275路、285路、410路、485路、565路、583路、70路、769路、787路、811路、91路等
电梯三房~、户型方正~、楼下地铁出行方便 省级西外,260,35008,荔湾,3室1厅1卫,74.27㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东北,钢混结构,其他,,有,楼下就是地铁~、华润商场300米还有在建的商场就在家楼下。周门菜市场500米~、,楼下就是中山八地铁有5号线11号线~、楼下也有公交20米~、出行便利
逸翠湾 封闭管理 东南望白天鹅 冬暖夏凉。,798,55533,荔湾,3室1厅2卫,143.7㎡,平层,塔楼,高楼层(共45层),暂无数据,暂无,东南,钢混结构,其他,,有,,地铁：双地铁1号线和6号线无缝接。公交车总站~、有多条线路；205~、297~、176等。
户型方正~、南向三房~、通风采光好,198,23558,荔湾,3室1厅1卫,84.05㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,南,钢混结构,简装,,有,,途径公交线路：812~、487~、207~、838~、996距离地铁线约1500米
靓装修两房~、低层望花园~、大型社区~、配套齐全,150,28958,荔湾,2室1厅1卫,51.8㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,南,钢混结构,精装,,,一公里街市、福客多街市、东漖街市、医院慈桦医院、慈善医院、妇幼保健院、银行中国银行、银行工商银行、农业银行,小区门口15~、69~、183~、193~、公交车站~、途径70~、222、281、411、552、地铁1号线花地湾站、坑口地铁站
高楼层 视野好 采光好 风景好 保养好 方便看房,350,44004,荔湾,2室1厅1卫,79.54㎡,平层,塔楼,中楼层(共60层),暂无数据,暂无,北,钢混结构,其他,,有,广钢公园~、连廊购物街芯~、肯德基、麦当劳、星巴克、屈臣氏、电影院、以及沃尔玛（在装修中）等等；银行：中国银行、工商银行、农业银行、华夏银行、民生银行医疗：荔湾区第三人民医院、荔湾区人民医院、广钢医院（都是三级甲等医院）,双地铁：广佛线（鹤洞地铁站）~、1号线（西塱地铁站）。小区门口公交车站（鹤洞路西站）：并有181~、19~、217~、222~、275~、285~、410~、565~、583~、69~、70~、71~、769~、770~、787~、811~、91等公交车路线~、出行十分便利。
陈家祠 大院管理 一手业主 电梯两房,200,31047,荔湾,2室1厅1卫,64.42㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东北,钢混结构,简装,,有,,从小区走出来600米就能到陈家祠地铁站~、开车出来230米左右可以到中山八路~、中山八路四通八达自驾车很便利。
周门~、规划局宿舍~、三单边~、带阳台四房,355,34955,荔湾,4室1厅1卫,101.56㎡,平层,塔楼,高楼层(共10层),暂无数据,89㎡,南,钢混结构,简装,,有,老城区生活配套~、近周门街市场~、450米处多条地铁站点~、荔湾附属医院850米~、居住生活方便,小区近有三个地铁站：中山八5号线~、11号线~、陈家祠1号（8号延长线）~、彩虹桥站8号延长~、11号站）~、
沙涌新村 2室1厅 南 北,145,20272,荔湾,2室1厅1卫,71.53㎡,平层,塔楼,高楼层(共7层),暂无数据,64.63㎡,南北,钢混结构,其他,,,,
珠江金茂府 3室2厅 东北,520,47611,荔湾,3室2厅2卫,109.22㎡,平层,塔楼,高楼层(共42层),暂无数据,暂无,东北,钢混结构,其他,,有,,
五年 商品房 高层视野好 大房大厅大厨房,218,23209,荔湾,2室1厅1卫,93.93㎡,平层,塔楼,高楼层(共21层),暂无数据,93.93㎡,东南,钢混结构,简装,,有,文化公园、儿童公园、上下九步行街、华林国际、和业广场、家乐福、广州中医院、伊丽莎白妇产科医院~、各大银行基本在生活半径800米内轻松解决,
户型方正~、　通透格局~、采光充足~、配套设施齐全,248,32632,荔湾,2室1厅1卫,76㎡,平层,塔楼,中楼层(共30层),暂无数据,62.43㎡,北,钢混结构,其他,,有,,小区步行400米到中山八交通枢纽5号/11号线双地铁~、150米就到公交车站~、260米就到荔湾湖公园或者青年公园。内环中山八出入口就在小区门口。
金茂府 广钢改善大五房三卫 南北对流 南向望江 望公园,1650,68931,荔湾,5室2厅3卫,239.37㎡,平层,塔楼,高楼层(共29层),暂无数据,暂无,东南南,钢混结构,精装,,有,小区旁有丰富足球场篮球场停车场公园小区交通便利整个小区空气较好视野开阔生活气氛浓厚让您尽情享受生活的乐趣,广佛线鹤洞站B出口走路大约500米即达小区门口公交：69路、181路、19路、217路、222路、275路、285路、410路、485路、565路、583路、70路、769路、787路、811路、91路
振业天颂花园 3室2厅 东南,469,44710,荔湾,3室2厅2卫,104.9㎡,平层,塔楼,高楼层(共26层),暂无数据,暂无,东南,钢混结构,毛坯,,有,,
陈家祠板块  东南向3房  光线充足  双阳台,212,28774,荔湾,3室1厅1卫,73.68㎡,平层,塔楼,中楼层(共8层),暂无数据,66.57㎡,东南,钢混结构,其他,,,陈家祠地铁站~、泮溪酒家~、西关世家~、周记茶餐厅~、动感小西关~、新大新公司~、新光城市广场,距离1/8号线陈家祠地铁站450米左右距离交通方便~、距离8号线彩虹桥地铁站600米左右（11/13/22号线在建设）；出门口就是公交车站荔湾路站
万科柏悦湾 3室1厅 南,420,41335,荔湾,3室1厅2卫,101.61㎡,平层,塔楼,低楼层(共23层),暂无数据,80.61㎡,南,钢混结构,其他,,有,,
南向三房~、视野采光通风好~、舒适度高,450,39585,荔湾,3室2厅2卫,113.68㎡,平层,塔楼,中楼层(共57层),暂无数据,暂无,南,钢混结构,精装,,有,肯德基、麦当劳~、星巴克~、喜茶~、钱大妈~、广钢公园~、各种特色餐饮~、24小时便利店。步行可到菜市场西朗农贸市场,西朗A出口/鹤洞站C出口~、公交车91路、583路、222路、181路、19路、217路、277路、285路、565路、769快线、69路、811路等线路可到达
双桥8号 东南向三房两卫 江景漂亮 视野美,620,50971,荔湾,3室2厅2卫,121.64㎡,平层,暂无数据,中楼层(共33层),暂无数据,93.94㎡,南,钢混结构,其他,,有,,地铁站：5/6号线坦尾地铁站步行400米~、5号线直达珠江新城~、19路、994路、夜44路、19路、34路、52路、61路、124路、128路、256路、416路、555路等可贯穿广佛各区。
保利曼城 装修好 实用三房 近11号线鹤洞东站,390,39542,荔湾,3室1厅2卫,98.63㎡,平层,塔楼,低楼层(共39层),暂无数据,暂无,北,钢混结构,其他,,有,小区楼下裙楼底商丰富~、可以满足业主们日常所需要物品。步行600米可达中海花湾天地~、钱大妈、7-11、罗森便利店、星巴克、麦当劳~、肯德基、喜茶、烤肉店等~、各种连锁品牌~、一个地铁站的距离可以去到芳村种类最齐全的肉菜综合市场~、新鲜实惠~,700米可达地铁广佛线鹤洞站~、一站换乘1号线~、两站换乘8号线~、还有11号线在建中~、该条地铁是广州的大环栈~、串连天河、越秀海珠、荔湾、白云五区~、步行距离800米左右~、公交路线有：19路、445路、769路、277路、91路、70路、多路公交线路
杨巷路 西向二房 厅大方正实用 证过五年,150,26330,荔湾,2室1厅1卫,56.97㎡,平层,塔楼,中楼层(共8层),暂无数据,暂无,西南西北,钢混结构,其他,,,,地铁站：8号线华林寺地铁站300米6号线、8号线文化公园地铁站600米、公交站：上九路公交站、大新路口公交站、德星路总站、和平东总站2路、3路、6路、4路、31路、38路、86路
金宇花园一房一厅~、电梯平层~、装修新净~、南朝向,90,23573,荔湾,1室1厅1卫,38.18㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,南,钢混结构,其他,,,金宇体育运动场美满酒店壹壹酒店东塱农庄新爵公园东朗综合市场肯德基农商银行广钢医院荔湾区第三人民医院配套成熟,私家车和公交车都方便出行小区北门有公交车总站有52、64、277、121、780、769、417等公交线路小区路口出来就可以上高速环城高速
荔湾大厦 地铁1号线的大两房带厅出阳台东向,388,36785,荔湾,2室1厅1卫,105.48㎡,平层,塔楼,低楼层(共19层),暂无数据,暂无,东,钢混结构,其他,,有,500米路程有：盒马鲜生、华润杤家、富邦商场、稻香酒家、八合里牛肉火锅、麦当劳、新都会楼下美食城~、市一人民医院、妇婴儿童医院步行500米。,地铁：一号线西门口地铁步行300米~、公交车站：人民北路站（夜7路、夜16路、2路、4路、31路、38路、103路、109路、186路、556路）步行200米路程。
华福大厦 1室1厅 南 北,140,25290,荔湾,1室1厅1卫,55.36㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,南北,钢混结构,简装,,,,
老西关刚需三房  中楼层采光不错 省级华侨,330,38511,荔湾,3室1厅1卫,85.69㎡,平层,塔楼,中楼层(共25层),暂无数据,72.57㎡,西南,钢混结构,其他,,有,小区门口有广场~、配套成熟~、有旺市~、健身房~、肯德基~、星巴克；步行856米可到达青年公园~、步行1000米可到达荔湾湖公园~、步行50米可到达工商银行、建设银行、兴业银行,荔港南湾交通：步行1000米能到地铁5号线西场站和中山八路站~、步行1200米能达到中山八路工交总站和东风西路汽车站.地铁-5号线西场站。公交车站-南岸路~、线路有17、34、196、268、256、17、198、256、538房主自荐(业主对房源的描述)
